word	syllables	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
абсолютизм	4	изм	форма правления, при которой верховная власть целиком принадлежит самодержав ному монарху, неограниченная монархия	NA	a	зм	аоюи	и	0.0021125862429670593	-0.001605274361817722
абсорбент	3	-	[ лат. absorbens (absorbentis) поглощающий] — поглощающеевещество (см. абсорбция).	вещество	a	нт	аое	е	-5.73666584452556e-4	-2.145890057757326e-4
абсорбер	3	-	— основной аппарат установки, в которой осуществляют абсорбцию 1.	артефакт	a	р	аое	е	-7.899230179651967e-4	-1.5985972152078085e-4
абсорбциометр	5	-	NOT FOUND	NA	a	тр	аоиое	е	-9.014765575480133e-4	-7.098742253294726e-4
абстракт	2	-	NOT FOUND	NA	a	кт	аа	а	-4.568470762775253e-4	7.618290481362171e-4
абстракционизм	5	изм	направление, последователи которого изображают реальный мир как сочетание отвлеченных форм или цветовых пятен	NA	a	зм	ааиои	и	0.001972566570323034	-0.0016660537651398879
абсурд	2	-	нелепость, бесмыслица	NA	a	рд	ау	у	-4.2921236671830204e-4	0.0010431962513245672
абсурдизм	3	изм	NOT FOUND	NA	a	зм	ауи	и	0.0020547712812814833	-0.001334546199417812
абсцесс	2	-	нарыв, гнойник, скопление гноя в органах или тканях в результате воспалительного процесса	NA	a	сс	ае	е	-9.019435503759393e-4	6.282157403528336e-5
абцуг	2	-	[нем. abzug] — шлак, получаемый при выделении из веркблея золота,серебра и олова.	NA	a	г	ау	у	-4.412625435467271e-4	9.911566363126365e-4
абштрих	2	-	[нем. abstrich] — шлак, получаемый при очистке свинца от мышьяка исурьмы.	NA	a	х	аи	и	3.322286105023714e-4	2.2182603766958563e-4
авал	2	-	NOT FOUND	NA	a	л	аа	а	-3.9494563253847256e-4	8.510294725896854e-4
аваль	2	-	[фр. aval] — поручительство по векселю, сделанное третьим лицом в видеособой гарантийной записи.	NA	a	ль	аа	а	-8.992941649416756e-4	-5.488130039477229e-5
авангард	3	-	передовая, ведущая часть какой-нибудь общественной группы, класса; часть войск (или флота), находящаяся впереди главных сил	NA	a	рд	ааа	а	-1.9069547799816476e-4	7.890324001591217e-4
авангардизм	4	изм	разных течений в искусстве 20 века, порывающих с реализмом и ищущих новые формы художественного выражения; стремление какой-нибудь общественной группы к главенствующей роли в чем-нибудь	NA	a	зм	аааи	и	0.0019883586136512196	-0.0015264481339515715
аванзал	3	-	помещение перед главным залом в общественных зданиях	NA	a	л	ааа	а	-1.8524539764888572e-4	6.761867113171754e-4
аванпорт	3	-	защищенная от волн внешняя часть порта	NA	a	рт	аао	о	-9.608759404855732e-5	5.586637287123344e-4
аванпост	3	-	передовой сторожевой пост; место расположения такого поста	место	a	ст	аао	о	-1.1789552260137631e-4	7.441464679332179e-4
аванс	2	-	деньги (или другие ценности), выдаваемые вперед в счет заработка, причитаю щихся кому-нибудь платежей	NA	a	нс	аа	а	-4.234974095182568e-4	8.939624923135083e-4
авантаж	3	-	[фр. avantage] —уст. выгода, польза; благоприятное положение.	абстрактное понятие	a	ж	ааа	а	1.4878127764972893e-4	6.247204743670151e-4
авантюризм	4	изм	склонность к авантюрам	NA	a	зм	ааюи	и	0.002160394349543422	-0.0016843767662854169
авантюрин	4	ин	[фр. aventurine] — 1) минерал, разновидность кварца, желтоватого,буровато-красного и реже зеленого цвета, пронизанная блестками мельчайшихвключений слюды или железистой слюдки — гематита; используется как поделочныйкамень; 2) авантюриновое стекло — коричневое стекло с включениями листочковметаллической меди, придающей сплаву яркий золотистый блеск; употр. дляразличных украшений.	NA	a	н	ааюи	и	0.0013399865097817566	-8.117129820916905e-4
аватар	3	-	NOT FOUND	NA	a	р	ааа	а	-2.5454160685332736e-4	5.703585982467491e-4
авгит	2	-	[ гр. auge блеск] — минерал, мета-силикат из группы пироксенов,породообразующий минерал изверженных горных пород, преимущ. основного состава —андезита, базальта, диабаза.	NA	a	т	аи	и	4.647877118378065e-4	2.8871944763308288e-5
август	2	-	восьмой месяц календарного года	месяц	a	ст	ау	у	-5.926732055536686e-4	0.0011316330551400207
аверс	2	-	[фр. avers лат. adversus обращенный лицом] — лицевая сторонамонеты, медали (ср. реверс 1).	NA	a	рс	ае	е	-9.371695181960084e-4	9.812318233483703e-5
авиаагрегат	6	-	NOT FOUND	NA	a	т	аиааеа	а	-5.01624946868834e-4	-1.0199581627886797e-4
авиабензин	5	ин	NOT FOUND	NA	a	н	аиаеи	и	0.001320335183156989	-9.428556843178496e-4
авиабилет	5	-	NOT FOUND	NA	a	т	аиаие	е	-4.808707018005307e-4	-4.2735101441768647e-4
авиагоризонт	6	-	[см. авиа...] — гироскопический (см. гироскоп) прибор,предназначенный для определения положения продольной и поперечной осей самолетав пространстве относительно горизонта.	артефакт	a	нт	аиаоио	о	-9.315791484767181e-4	-2.0326391859096541e-4
авиагруз	4	-	NOT FOUND	NA	a	з	аиау	у	-3.142844841896326e-4	5.203326924656568e-4
авиадвигатель	6	тель	NOT FOUND	NA	a	ль	аиаиае	е	-0.002758718795584635	-0.0036366636898494836
авиадесант	5	-	NOT FOUND	NA	a	нт	аиаеа	а	-3.7310220970370643e-4	2.1027259928085013e-4
авиазавод	5	-	NOT FOUND	NA	a	д	аиаао	о	-7.38241265483736e-5	1.9345855883196177e-4
авиакеросин	6	ин	NOT FOUND	NA	a	н	аиаеои	и	7.282526176048296e-4	-9.976672815107423e-4
авиакомпас	5	-	NOT FOUND	NA	a	с	аиаоа	а	-2.334779303844155e-4	4.0217115078076526e-4
авиалайнер	5	-	NOT FOUND	NA	a	р	аиаае	е	-7.405773815098061e-4	-3.9557449792599356e-4
авиамаршрут	5	-	NOT FOUND	NA	a	т	аиаау	у	-1.716698109193414e-4	2.944810437974403e-4
авиамоделизм	6	изм	постройка и запуск моделей летательных аппаратов	NA	a	зм	аиаоеи	и	0.0019041407857228838	-0.0022753749770813327
авиамотор	5	-	NOT FOUND	NA	a	р	аиаоо	о	-3.241573722715182e-4	1.548351063002268e-4
авианосец	5	ец	военный корабль, оборудованный как подвижной морской аэродром	NA	a	ц	аиаое	е	-0.001649284503921482	-0.0013771078366365396
авиаопрыскиватель	8	тель	NOT FOUND	NA	a	ль	аиаоыиае	е	-0.0033189767508907454	-0.004285734820741791
авиаопыливатель	8	тель	NOT FOUND	NA	a	ль	аиаоыиае	е	-0.0033189767508907454	-0.004285734820741791
авиаотряд	5	-	NOT FOUND	NA	a	д	аиаоя	я	3.134815105397047e-5	3.772636764457619e-4
авиаперевозчик	7	чик	NOT FOUND	NA	a	к	аиаееои	и	8.716932481043594e-4	-0.0016651419437628222
авиаперсонал	6	-	NOT FOUND	NA	a	л	аиаеоа	а	-6.620095716808411e-4	8.472857008775076e-5
авиапневматик	6	ик	NOT FOUND	NA	a	к	аиаеаи	и	0.0010783383623686755	-0.0011366708982469196
авиаполк	4	-	NOT FOUND	NA	a	лк	аиао	о	-2.3232882795199179e-4	5.426852732887949e-4
авиапорт	4	-	NOT FOUND	NA	a	рт	аиао	о	-2.584690425945837e-4	4.420207318994991e-4
авиаприбор	5	-	NOT FOUND	NA	a	р	аиаио	о	-3.099969778322443e-4	1.6038154944494334e-4
авиапулемет	6	-	NOT FOUND	NA	a	т	аиауее	е	-8.359663817817777e-4	-7.521918858618143e-4
авиарейс	4	-	NOT FOUND	NA	a	йс	аиае	е	-0.0010407611477165066	-6.448167817309984e-4
авиасалон	5	-	-а, м. Выставка новейших образцов самолетов, авиационной техники.	NA	a	н	аиаао	о	-4.224712819943553e-5	1.7064590796114377e-4
авиасев	4	в	NOT FOUND	NA	a	в	аиае	е	-6.837755428958621e-4	-5.071524367153672e-4
авиаспорт	4	-	NOT FOUND	NA	a	рт	аиао	о	-2.584690425945837e-4	4.420207318994991e-4
авиатест	4	-	NOT FOUND	NA	a	ст	аиае	е	-8.491988702564231e-4	-5.338653804837916e-4
авиатехникум	6	-	NOT FOUND	NA	a	м	аиаеиу	у	-6.679231713763631e-4	2.1268217958431254e-4
авиатранспорт	5	-	[см. авиа... + транс порт] — 1) воздушный транспорт-	NA	a	рт	аиаао	о	-2.1756959649554242e-4	3.1137697409137015e-4
авиаузел	5	-	NOT FOUND	NA	a	л	аиауе	е	-6.412553266125811e-4	-2.4062662805109667e-4
авиафонд	4	-	NOT FOUND	NA	a	нд	аиао	о	-2.574064822687351e-4	4.3881699336048525e-4
авиаэкспорт	5	-	NOT FOUND	NA	a	рт	аиаэо	о	-2.6365333272107224e-4	3.513940648714178e-4
авитаминоз	5	-	заболевание, вызываемое резким недостатком витаминов в организме	NA	a	з	аиаио	о	-2.4463584425950675e-4	1.8428108195255553e-4
авлос	2	-	[гр. aulos] — древний духовой муз. инструмент, напоминающий свирель сраздвоенной тростью; был распространен в передней азии и др. греции.	артефакт	a	с	ао	о	-3.9902555410404537e-4	7.389741374016228e-4
авост	2	-	NOT FOUND	NA	a	ст	ао	о	-2.7431184073008886e-4	7.505373038396083e-4
аврал	2	-	спешная (по специальному заданию или по тревоге) работа на судне всей командой; выполняемая всем коллективом спешная работа	NA	a	л	аа	а	-3.9494563253847256e-4	8.510294725896854e-4
авран	2	ан	NOT FOUND	NA	a	н	аа	а	-2.1618516253582194e-4	8.374959755368959e-4
австрализм	3	изм	NOT FOUND	NA	a	зм	ааи	и	0.0020230370369050733	-0.001316328364747877
автоагрегат	5	-	NOT FOUND	NA	a	т	аоаеа	а	-1.4652926688758945e-4	2.22845055165268e-4
автоаларм	4	-	NOT FOUND	NA	a	рм	аоаа	а	-3.089900135330443e-4	6.004239207793842e-4
автобан	3	ан	NOT FOUND	NA	a	н	аоа	а	-1.3771466930406553e-5	6.700971531154509e-4
автобатальон	5	-	NOT FOUND	NA	a	н	аоаао	о	-1.236414936252784e-5	1.453431556239848e-4
автобензин	4	ин	NOT FOUND	NA	a	н	аоеи	и	0.0011404775425643311	-5.703907258074471e-4
автобетоновоз	6	-	NOT FOUND	NA	a	з	аоеооо	о	-5.855711298014789e-4	-1.3501334634688833e-4
автобетоносмеситель	8	итель	NOT FOUND	NA	a	ль	аоеооеие	е	-0.0032374913583231996	-0.004178782298526707
автобиографизм	6	изм	NOT FOUND	NA	a	зм	аоиоаи	и	0.0019041407857228786	-0.002275374977081334
автобус	3	-	многоместный автомобиль для перевозки пассажиров	NA	a	с	аоу	у	-1.8013649521137742e-4	7.480907264258127e-4
автовагон	4	-	NOT FOUND	NA	a	н	аоао	о	-3.8176309092269746e-5	2.9264901191766816e-4
автовоз	3	-	NOT FOUND	NA	a	з	аоо	о	-1.041234064567994e-4	4.63729077765147e-4
автовокзал	4	-	большая станция пригородного или междугородного автобусного сообщения	NA	a	л	аооа	а	-2.664392537783988e-4	5.17952125321682e-4
автогараж	4	-	NOT FOUND	NA	a	ж	аоаа	а	-2.97119497468948e-4	6.804115754289238e-4
автоген	3	-	автогенная сварка, резка	NA	a	н	аое	е	-4.152774039496371e-4	-1.714160648131792e-4
автогенез	4	ез	[см. авто...+ ...генез] —общее название идеалистических концепций,которые рассматривают эволюцию живой природы как процесс, независимый отвнешних условий, направляемый и регулируемый некими внутренними нематериальнымифакторами; по своей сущности а. смыкается с витализмом; примеры автогенеза— аристогенез,психоламаркизм (противоп. эктогенез).	NA	a	з	аоее	е	-8.211805057306574e-4	-5.265250763992627e-4
автогенератор	6	-	NOT FOUND	NA	a	р	аоееао	о	-6.905989334572412e-4	-1.6961329675712058e-4
автогипноз	4	-	NOT FOUND	NA	a	з	аоио	о	-1.6518785430214532e-4	2.808581785654351e-4
автограф	3	-	подлинная рукопись автора; собственноручная, обычно памятная, надпись или подпись	NA	a	ф	аоа	а	-1.9996228977991071e-4	6.54189780833521e-4
автогрейд	3	-	NOT FOUND	NA	a	йд	аое	е	-7.077058176951671e-4	3.808455285174352e-5
автогрейдер	4	-	NOT FOUND	NA	a	р	аоее	е	-7.092388890007351e-4	-2.679402526350168e-4
автогудронатор	6	-	NOT FOUND	NA	a	р	аоуоао	о	-6.792530522527583e-4	-1.7000576514391558e-4
автодин	3	ин	[авто... + гр. dynamis сила, способность) — 1) радиоприемник сположительной обратной связью для приема на слух телеграфных сигналов по методубиений; 2) управляемый одноякорный электромашинный преобразователь мощностипеременного тока в мощность постоянного тока и наоборот.	NA	a	н	аои	и	0.0011243768015873903	-3.866202540666072e-4
автодиспетчер	5	-	NOT FOUND	NA	a	р	аоиее	е	-7.40577381509819e-4	-3.9557449792598873e-4
автодром	3	-	[авто... + гр. dromos место для бега, бег] — территория,оборудованная для проведения скоростных соревнований и испытаний автомобилейили автомобилей и мотоциклов (а в -т о м о т о д р о м); см. также мотодром.	NA	a	м	аоо	о	-8.67738444004503e-5	5.841221274007551e-4
автожижеразбрасыватель	9	тель	NOT FOUND	NA	a	ль	аоиеааыае	е	-0.0031690488442709546	-0.0037649571239153352
автожир	3	-	[фр. autogyrerp. autos сам + gyros круг] — винтокрылыйлетательный аппарат тяжелее воздуха, у которого несущий винт вращается отнабегающего потока воздуха, а поступательное движение создается тянущим винтом(как у самолета) при помощи авиационного двигателя; предшественник вертолета.	артефакт	a	р	аои	и	3.4394028725514897e-4	-1.2916464083648332e-4
автозавод	4	-	автомобильный завод	NA	a	д	аоао	о	-6.975330744120781e-5	3.1546166278848616e-4
автозаправщик	5	щик	NOT FOUND	NA	a	к	аоааи	и	0.0012830483406963311	-9.547264231674339e-4
автокар	3	-	самодвижущаяся тележка с двигателем внутреннего сгорания для безрельсовой перевозки грузов	NA	a	р	аоа	а	-2.6182814613749883e-4	5.77802537097814e-4
автокартограф	5	-	NOT FOUND	NA	a	ф	аоаоа	а	-3.1595401967404404e-4	3.7329613278254143e-4
автокатализ	5	-	[см. авто... + катализ] — аутокатал из — ускорение хим. реакцииодним из ее продуктов, играющим роль катализатора.	NA	a	з	аоааи	и	4.705810493795171e-4	-3.9199139983629884e-4
автокатафалк	5	-	NOT FOUND	NA	a	лк	аоааа	а	-2.7566917307209136e-4	5.191632825956404e-4
автоклав	3	в	аппарат для нагревания под давлением выше атмосферного при высокой температуре	артефакт	a	в	аоа	а	-1.653791242903254e-4	7.270006280415644e-4
автоклуб	3	-	NOT FOUND	NA	a	б	аоу	у	-2.3154546243728713e-4	8.580756390007276e-4
автокод	3	-	[см. авто... + код] — язык программирования; наиболее распространена. типа 1:1, каждый символ которого при переводе на машинный язык преобразуетсяв одну команду цифровой вычислительной машины.	NA	a	д	аоо	о	1.647411798287171e-5	4.5615927235381987e-4
автоколлиматор	6	-	[см. авто...] — оптический прибор для точных угловыхизмерений, контроля прямолинейности и плоскостности; одним из элементов прибораявляется коллиматор.	артефакт	a	р	аооиао	о	-9.044382971338754e-4	-1.625775353052901e-4
автокомбинат	5	-	NOT FOUND	NA	a	т	аооиа	а	-1.465292668875897e-4	2.2284505516526856e-4
автокомпенсатор	6	-	NOT FOUND	NA	a	р	аооеао	о	-7.019448146617256e-4	-1.692208283703288e-4
автокомпрессор	5	-	NOT FOUND	NA	a	р	аооео	о	-3.241573722715216e-4	1.5483510630022096e-4
автоконтакт	4	-	NOT FOUND	NA	a	кт	аооа	а	-3.283406975174515e-4	4.287517008682138e-4
автокоррелятор	6	-	NOT FOUND	NA	a	р	аооеяо	о	-6.792530522527546e-4	-1.7000576514391558e-4
автокран	3	ан	NOT FOUND	NA	a	н	аоа	а	-1.3771466930406553e-5	6.700971531154509e-4
автократизм	4	изм	NOT FOUND	NA	a	зм	аоаи	и	0.002088759728683535	-0.0015831379978561006
автокросс	3	-	NOT FOUND	NA	a	сс	аоо	о	-1.8257925835431655e-4	5.0776223040383e-4
автокружок	4	ок	NOT FOUND	NA	a	к	аоуо	о	4.4942085642069745e-4	2.2575192863223364e-4
автол	2	-	смазочное масло для карбюраторных двигателей	NA	a	л	ао	о	-2.931512836664727e-4	7.389536892525739e-4
автолесовоз	5	-	NOT FOUND	NA	a	з	аоеоо	о	-2.446358442595174e-4	1.842810819525461e-4
автолиз	3	-	[см. авто... + ...лиэ] — саморастворение, распад тканей животногоили растительного организма под влиянием ферментов, содержащихся в этих жетканях.	NA	a	з	аои	и	5.664113784820996e-4	-1.103385278467366e-4
автолист	3	ист	NOT FOUND	NA	a	ст	аои	и	9.150404975858624e-4	-1.3462367318531828e-4
автомагазин	5	ин	NOT FOUND	NA	a	н	аоааи	и	0.001028546472484808	-6.682731260561695e-4
автомарафон	5	-	NOT FOUND	NA	a	н	аоаао	о	-1.236414936252784e-5	1.453431556239848e-4
автомат	3	-	аппарат (машина, прибор, устройство), после включения самостоятельно выполняющий ряд заданных операций; индивидуальное автоматическое стрелковое оружие с надевающимся штыком-ножом	артефакт	a	т	аоа	а	-2.3774281511645685e-4	5.611728587739197e-4
автоматизм	4	изм	механичность, непроизвольность действий, движений	NA	a	зм	аоаи	и	0.002088759728683535	-0.0015831379978561006
автомашинист	5	ист	NOT FOUND	NA	a	ст	аоаии	и	7.197298568603583e-4	-2.8038976871706865e-4
автомобилеопрокидыватель	11	тель	NOT FOUND	NA	a	ль	аооиеооиыае	е	-0.0029702728925177758	-0.0034048113052020587
автомобилеразгрузчик	8	чик	NOT FOUND	NA	a	к	аооиеауи	и	5.68684659721497e-4	-0.0019209269362305624
автомобилизм	5	изм	автомобильное дело, автомобильный спорт	NA	a	зм	аооии	и	0.0021811202786574464	-0.0018444928120837495
автомобиль	4	-	транспортное средство на колесном (реже полугусеничном или другом) ходу с собственным двигателем для перевозок по безрельсовым путям	NA	a	ль	аоои	и	6.556193717207823e-5	-0.0011379188782404345
автомобильчик	5	чик	NOT FOUND	NA	a	к	аооии	и	0.001640270669102218	-0.0011590975210009945
автомонитор	5	-	NOT FOUND	NA	a	р	аооио	о	-2.770285889976914e-4	1.5333059284936085e-4
автомоносексуализм	8	изм	NOT FOUND	NA	a	зм	аоооеуаи	и	0.001343882830416727	-0.0029244461079736585
автоморфизм	4	изм	— см. изоморфизм 2.	NA	a	зм	аоои	и	0.0019443486568105333	-0.0014628821962323877
автомотоклуб	5	-	|см. авто... + мота...] — организация (клуб 1), объединяющаялиц, занимающихся автомобильным или мотоциклетным спортом.	NA	a	б	аоооу	у	-3.323027974641603e-4	6.348411730682166e-4
автомотоспорт	5	-	NOT FOUND	NA	a	рт	аоооо	о	-1.8579277375996352e-4	3.002114987512102e-4
автомототранспорт	6	-	NOT FOUND	NA	a	рт	аоооао	о	-6.187490127022861e-4	2.6553193427290872e-5
автоним	3	-	[авто... + гр. опоша, onyma имя] — подлинное имя автора, пишущегопод псевдонимом.	NA	a	м	аои	и	5.837609405384487e-4	1.0054521788871487e-5
автооператор	6	-	[см. авто... + оператор] — 1) в металлообработке — механизм дляавтоматической установки заготовки на станке и удаления обработанного изделия;2) в гидроэнергетике — система автоматических устройств, обеспечивающих пускили остановку агрегатов гидроэлектростанции для поддержания наиболееэкономичного режима их работы (при изменении напора воды или внешней нагрузки).	NA	a	р	аооеао	о	-7.019448146617256e-4	-1.692208283703288e-4
автоответ	4	-	NOT FOUND	NA	a	т	аоое	е	-5.413982877343753e-4	-3.14435395588817e-4
автоответчик	5	чик	NOT FOUND	NA	a	к	аооеи	и	0.0016012125755788887	-0.0011060768742242719
автоотряд	4	-	NOT FOUND	NA	a	д	аооя	я	4.996750064613079e-5	4.995799758506864e-4
автопавильон	5	-	NOT FOUND	NA	a	н	аоаио	о	-1.2364149362514279e-5	1.4534315562396956e-4
автопансионат	6	-	NOT FOUND	NA	a	т	аоаиоа	а	-5.016249468688267e-4	-1.0199581627886646e-4
автопарк	3	-	NOT FOUND	NA	a	рк	аоа	а	-2.901026277106775e-4	6.547878133027206e-4
автопереход	5	-	NOT FOUND	NA	a	д	аоеео	о	-9.393155929555149e-5	1.8928277486809054e-4
автопилот	4	от	устройство для автоматического управления летательным аппаратом	артефакт	a	т	аоио	о	-1.424138928331048e-4	3.0097929581888614e-4
автоплуг	3	-	NOT FOUND	NA	a	г	аоу	у	-2.488724396057218e-4	8.139497716246449e-4
автоповтор	4	-	NOT FOUND	NA	a	р	аооо	о	-2.4267699080509188e-4	2.5709103587740715e-4
автопогрузчик	5	чик	самосдвижущаяся машина для погрузки, разгрузки и перевозки грузов на небольшие расстояния (на станциях, складах, в цехах)	NA	a	к	аооуи	и	0.001562154482055552	-0.0010530562274475494
автоподъёмник	5	ник	NOT FOUND	NA	a	к	аооёи	и	0.0014879349033554902	-9.04338945937157e-4
автопоезд	4	-	NOT FOUND	NA	a	зд	аоое	е	-8.72084098583123e-4	-3.969349241456756e-4
автополимер	5	-	NOT FOUND	NA	a	р	аооие	е	-7.405773815098165e-4	-3.955744979259912e-4
автопортрет	4	-	портрет, написанный с самого себя	NA	a	т	аоое	е	-5.413982877343753e-4	-3.14435395588817e-4
автоприцеп	4	-	NOT FOUND	NA	a	п	аоие	е	-7.904262306653913e-4	-4.3690779107444857e-4
автопробег	4	-	NOT FOUND	NA	a	г	аоое	е	-6.707976243828925e-4	-1.2609811084661533e-4
автопровод	4	-	NOT FOUND	NA	a	д	аооо	о	-5.671833279268313e-5	2.734207629736922e-4
автопроизводитель	7	итель	NOT FOUND	NA	a	ль	аооиоие	е	-0.00293448276994032	-0.003922997306059014
автопрокладчик	5	чик	NOT FOUND	NA	a	к	аооаи	и	0.0016012125755788878	-0.0011060768742242719
авторегулятор	6	-	NOT FOUND	NA	a	р	аоеуяо	о	-6.792530522527557e-4	-1.7000576514391314e-4
авторемонт	4	-	NOT FOUND	NA	a	нт	аоео	о	-2.3273136749382014e-4	2.540174143550383e-4
автореферат	5	-	реферат, краткое изложение какого-нибудь исследования, написанное самим автором	NA	a	т	аоееа	а	-1.4652926688758948e-4	2.2284505516526875e-4
авторефрижератор	7	-	NOT FOUND	NA	a	р	аоеиеао	о	-9.365024191760255e-4	-5.632919035685404e-4
авторитаризм	5	изм	государственный строй, основанный на неограниченной личной власти, самовластие	NA	a	зм	аоиаи	и	0.0022592364657041107	-0.0019505341056371957
авторитет	4	-	общепризнанное значение, влияние, общее уважение; лицо пользующееся влиянием, признанием	NA	a	т	аоие	е	-6.871394883731351e-4	-5.728534465087965e-4
авторулевой	5	-	NOT FOUND	NA	u	й	аоуео	о	3.732479131845537e-5	7.09604271496769e-5
автосалон	4	-	-а, м. Выставка новейших образцов автомобилей, автомобильной техники.	NA	a	н	аоао	о	-3.8176309092269746e-5	2.9264901191766816e-4
автосамосвал	5	-	NOT FOUND	NA	a	л	аоаоа	а	-3.0852366682719047e-4	4.0273700211726065e-4
автосвет	3	-	NOT FOUND	NA	a	т	аое	е	-4.516177716357291e-4	-1.866362388804061e-4
автосин	3	ин	NOT FOUND	NA	a	н	аои	и	0.0011243768015873903	-3.866202540666072e-4
автоспорт	3	-	NOT FOUND	NA	a	рт	аоо	о	-1.272713519642971e-4	5.740776876132283e-4
автоспуск	3	-	NOT FOUND	NA	a	ск	аоу	у	-2.52330865578394e-4	7.987837503090751e-4
автостоп	3	-	устройство для автоматической остановки поезда; документ, дающий туристу право на остановку попутных автомашин; туристическое путешествие с таким документом	артефакт	a	п	аоо	о	-2.4868595130075145e-4	5.591455223679884e-4
автотаймер	4	-	NOT FOUND	NA	a	р	аоае	е	-9.10877770205719e-4	-5.560773120740708e-4
автотип	3	-	NOT FOUND	NA	a	п	аои	и	5.789587912923605e-4	-1.999550276176062e-5
автотопливозаправщик	8	щик	NOT FOUND	NA	a	к	аооиоааи	и	5.327714490256271e-4	-0.002066148027847102
