word	syllables	hiper_suf	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
absolut	3	-	-	byt samoistny, nieograniczony, wieczny, doskonały	NA	u	t	aou	u	3.421582859035244e-4	-5.419266973430834e-4
absorbat	3	-	-	substancja pochłaniana w procesie absorpcji	вещество	u	t	aoa	a	3.2658025281868524e-4	-5.100553600946818e-4
absorbent	3	-	-	substancja pochłaniająca w procesie absorpcji	вещество	u	nt	aoe	e	3.712413590351356e-4	4.1599427446236846e-4
abstrakt	2	-	-	streszczenie dokumentu lub publikacji naukowej	NA	u	kt	aa	a	5.374859026487843e-4	-5.001080098603183e-4
absurd	2	-	-	to, co jest pozbawione sensu	NA	u	rd	au	u	6.478129422577266e-4	-7.197429999324815e-4
absyd	2	-	-	NOT FOUND	NA	u	d	ay	y	-3.144853728493766e-4	-5.661742087394273e-4
absynt	2	-	-	piołunówka	артефакт	u	nt	ay	y	-7.727790247157231e-5	-3.841635541280888e-4
abszmak	2	-	-	nieprzyjemny smak	NA	u	k	aa	a	0.00040218475133424843	-3.432732908417631e-4
abszyt	2	-	-	NOT FOUND	NA	u	t	ay	y	-2.98996306915193e-4	-5.282359561855006e-4
abutilon	4	-	-	NOT FOUND	NA	u	n	auio	o	2.644601987823662e-4	-3.181505510862998e-4
abuz	2	-	-	NOT FOUND	NA	u	z	au	u	6.280411935367189e-4	-7.258755886984837e-4
abysal	3	-	-	NOT FOUND	NA	both	l	aya	a	3.7738430481940033e-4	-3.386226485760874e-4
accusativus	5	-	-	biernik	NA	u	s	auaiu	u	2.1223563755201676e-4	-3.798274781219286e-4
acenaften	4	-	-	NOT FOUND	NA	u	n	aeae	e	1.8923806405327852e-4	4.7223698620366166e-4
acenol	3	-	-	NOT FOUND	NA	u	l	aeo	o	3.926378325998547e-4	-2.9414159361256745e-4
acer	2	-	-	NOT FOUND	NA	a	r	ae	e	4.962642045268479e-4	3.6913931697013145e-4
acetal	3	-	-	ciecz o przyjemnym zapachu, stosowana w przemyśle farmaceutycznym i perfumeryjnym	вещество	u	l	aea	a	0.00042058155575188635	-3.979368092398887e-4
acetaldehyd	5	-	-	NOT FOUND	NA	u	d	aeaey	y	-6.065922096169498e-4	-2.553977008648562e-4
acetamid	4	-	-	ciało krystaliczne, używane m.in. do produkcji tworzyw sztucznych	NA	u	d	aeai	i	-9.517398648706772e-4	-2.670949292972726e-4
acetanilid	5	-	-	NOT FOUND	NA	u	d	aeaii	i	-6.093632966209366e-4	-1.66108554768927e-4
acetarsol	4	-	-	NOT FOUND	NA	u	l	aeao	o	2.8195454263517096e-4	-1.90843854723801e-4
acetator	4	-	-	NOT FOUND	NA	a	r	aeao	o	3.328956087064263e-4	-1.3691771735359923e-4
acetobacter	5	-	-	NOT FOUND	NA	u	r	aeoae	e	1.2799703066540267e-4	6.470081860607129e-4
acetofenon	5	-	-	NOT FOUND	NA	u	n	aeoeo	o	1.4119610663778216e-4	-1.7122237154788435e-4
acetometr	4	-	-	NOT FOUND	NA	u	tr	aeoe	e	1.9037045378808183e-4	7.250301501944938e-4
aceton	3	-	-	lotna ciecz o ostrym zapachu, mająca szerokie zastosowanie w przemyśle	вещество	u	n	aeo	o	4.469017986562139e-4	-4.6081991248865165e-4
acetyl	3	-	-	NOT FOUND	NA	u	l	aey	y	-4.475598880262755e-4	-3.2614306750800714e-4
acetyloaceton	7	-	-	NOT FOUND	NA	u	n	aeyoaeo	o	2.6352031232375193e-4	1.2231229272881207e-4
acetyloceluloid	8	-	-	NOT FOUND	NA	u	d	aeyoeuoi	i	-3.958022242093829e-4	2.0220204173745284e-4
acetylofosforan	7	-	-	NOT FOUND	NA	u	n	aeyoooa	a	2.5303440389323794e-4	9.900313634476168e-5
acetylokoenzym	7	-	-	NOT FOUND	NA	u	m	aeyooey	y	-3.0867071060721135e-4	9.971311170240382e-5
achimenes	4	-	-	NOT FOUND	NA	a	s	aiee	e	1.693239936562764e-4	5.056506415858949e-4
achondryt	3	-	-	meteoryt kamienny	NA	u	t	aoy	y	-3.981320590987218e-4	-4.108596210303875e-4
achromat	3	-	-	układ dwóch soczewek redukujący zjawisko aberracji chromatycznej	NA	u	t	aoa	a	2.829382612219967e-4	-4.2719245969013623e-4
achtel	2	-	-	dawna miara ciał płynnych i sypkich	NA	a	l	ae	e	4.4532313845559255e-4	3.152131795999297e-4
achterluk	3	-	-	otwór w pokładzie na rufie	артефакт	u	k	aeu	u	4.5226917681301615e-4	-3.1613569912756475e-4
achterpik	3	-	-	tylna część statku oddzielona od reszty wodoszczelną przegrodą	артефакт	both	k	aei	i	-3.5584012251793445e-4	-6.83402729767752e-5
achtersztag	3	-	-	lina stalowa biegnąca od topu masztu do rufy	NA	u	g	aea	a	4.2664877399125803e-4	-4.361479673486844e-4
acidofil	4	-	-	organizm, który najkorzystniejsze warunki rozwoju znajduje w glebach lub wodach kwaśnych	NA	both	l	aioi	i	-4.657469765934369e-4	-1.4846543495573316e-4
acting-out	4	-	-	NOT FOUND	NA	u	t	aiou	u	1.8390222367545747e-4	-4.5974342865434914e-4
acydofil	4	-	-	organizm, który najkorzystniejsze warunki rozwoju znajduje w glebach lub wodach kwaśnych	NA	both	l	ayoi	i	-5.744235188980388e-4	-1.4944192889382847e-4
acydofit	4	-	-	roślina występująca wyłącznie w środowisku kwaśnym	растение	u	t	ayoi	i	-6.271613255414413e-4	-8.68550788493029e-5
acydofob	4	-	-	roślina wapieniolubna	растение	a	b	ayoo	o	3.9808295328357834e-4	-2.8102925140648815e-4
acyklowir	4	-	-	NOT FOUND	NA	u	r	ayoi	i	-5.234824528267835e-4	-9.551579152362672e-5
acyl	2	-	-	NOT FOUND	NA	u	l	ay	y	-2.0057931803253425e-4	-4.3648979034493465e-4
acyloglicerol	6	-	-	NOT FOUND	NA	u	l	ayoieo	o	1.3778535800505436e-4	1.1966553072659037e-4
acylokoenzym	6	-	-	NOT FOUND	NA	u	m	ayooey	y	-4.1928080510637427e-4	-2.4660382706840798e-5
adalat	3	-	-	NOT FOUND	NA	u	t	aaa	a	2.733844560064542e-4	-4.0666991226818256e-4
adamantan	4	-	-	NOT FOUND	NA	u	n	aaaa	a	2.5321078796234747e-4	-3.419623484381343e-4
adamellit	4	-	-	NOT FOUND	NA	u	t	aaei	i	-7.12591343229084e-4	-2.2238391010486947e-4
adamsyt	3	-	-	bojowy środek trujący	NA	u	t	aay	y	-5.245495923414173e-4	-4.1187644297376876e-4
adaptometr	4	-	-	przyrząd do badania zdolności przystosowania się wzroku do ciemności	артефакт	u	tr	aaoe	e	2.874703149452646e-4	7.75980587517521e-4
adat	2	-	-	NOT FOUND	NA	u	t	aa	a	4.025845033056329e-4	-5.372590206138864e-4
adcult	2	-	-	NOT FOUND	NA	u	lt	au	u	6.700262113750896e-4	-7.262213809000403e-4
addend	2	-	-	dodatkowe informacje uzupełniające jakiś tekst	NA	a	nd	ae	e	4.906588586443888e-4	1.8639499922185952e-4
adduktor	3	-	-	mięsień przywodzący kończynę do osi ciała	NA	a	r	auo	o	4.4680022460661306e-4	-2.2165143316419774e-4
adenoid	4	-	-	migdałek gardłowy	NA	u	d	aeoi	i	-5.429319851797208e-4	-2.6728139555378793e-4
adenotom	4	-	-	NOT FOUND	NA	u	m	aeoo	o	2.8650827982121724e-4	-3.087769757572871e-4
adenowirus	5	-	-	wirus występujący w wielu odmianach	NA	a	s	aeoiu	u	2.0317702510284368e-4	-3.55880286301931e-4
adenozynodifosforan	9	-	-	NOT FOUND	NA	u	n	aeoyoiooa	a	4.4997626428145164e-4	-6.742811158314514e-4
adenozynomonofosforan	10	-	-	NOT FOUND	NA	u	n	aeoyoooooa	a	2.851922490634956e-4	-6.18638173466499e-5
adenozynotrifosforan	9	-	-	NOT FOUND	NA	u	n	aeoyoiooa	a	4.4997626428145164e-4	-6.742811158314514e-4
adenozynotrójfosforan	9	-	-	NOT FOUND	NA	u	n	aeoyoóooa	a	4.4997626428119685e-4	-6.742811158315561e-4
adenylan	4	-	-	NOT FOUND	NA	u	n	aeya	a	2.795900240433466e-4	-3.670751900247812e-4
adiantyt	4	-	-	kopalna paproć	NA	u	t	aiay	y	-6.534897083053023e-4	-3.244234186016007e-4
adidas	3	-	-	but sportowy na grubej gumowej podeszwie	артефакт	a	s	aia	a	4.8283142854366927e-4	-4.1731009119018464e-4
adinol	3	-	-	NOT FOUND	NA	u	l	aio	o	3.895040692478157e-4	-2.9694843499221787e-4
adipocyt	4	-	-	NOT FOUND	NA	u	t	aioy	y	-8.167778077044527e-4	-3.560617169047075e-4
adiuwant	4	-	-	NOT FOUND	NA	a	nt	aiua	a	2.548269592759146e-4	-1.5030558150079163e-4
adjuwant	3	-	-	NOT FOUND	NA	a	nt	aua	a	4.086443625173426e-4	-2.9151267103822586e-4
adonik	3	-	-	w poezji antycznej: wiersz używany pierwotnie w inwokacjach do Adonisa	NA	u	k	aoi	i	-4.485076522297675e-4	-9.295995610935574e-5
adonis	3	-	-	ukochany Afrodyty słynący z urody	NA	a	s	aoi	i	-3.3049775287437825e-4	-3.2206757302543e-4
adres	2	-	-	miejsce zamieszkania osoby lub siedziba instytucji	NA	u	s	ae	e	0.00046451629695693853	1.8834512661541265e-4
adresograf	4	-	-	NOT FOUND	артефакт	u	f	aeoa	a	3.750267555667046e-4	-3.196341143379997e-4
adsorbat	3	-	-	substancja ulegająca zagęszczeniu w procesie adsorpcji	вещество	u	t	aoa	a	3.2658025281868524e-4	-5.100553600946818e-4
adsorbent	3	-	-	substancja, na której powierzchni zachodzi adsorpcja	вещество	u	nt	aoe	e	3.712413590351356e-4	4.1599427446236846e-4
adstrat	2	-	-	język, który w wyniku dwujęzyczności danej społeczności zaopatruje drugi język w kalki językowe	NA	u	t	aa	a	4.025845033056329e-4	-5.372590206138864e-4
adular	3	-	-	NOT FOUND	NA	u	r	aua	a	4.359262509476165e-4	-2.6861932685403103e-4
adwent	2	-	-	okres czterech tygodni poprzedzających święto Bożego Narodzenia	NA	u	nt	ae	e	4.68982316096574e-4	3.462459727859366e-4
adypinian	5	-	-	NOT FOUND	NA	u	n	ayiia	a	1.307101982075457e-4	-1.945315279316688e-4
adypocyt	4	-	-	NOT FOUND	NA	u	t	ayoy	y	-5.769427727061882e-4	-3.4456915205329576e-4
adyton	3	-	-	miejsce w sanktuarium greckim dostępne tylko kapłanom lub osobom wybranym	NA	u	n	ayo	o	3.996133393682205e-4	-3.865792439315269e-4
aegikranion	6	-	-	starożytny element dekoracyjny w kształcie głowy kozy lub barana	артефакт	u	n	aeiaio	o	2.947929615832816e-4	2.8863672156786947e-5
aeolodikon	6	-	-	NOT FOUND	NA	u	n	aeooio	o	1.5291021782278696e-4	-2.061201680370842e-6
aeolodion	6	-	-	NOT FOUND	NA	u	n	aeooio	o	1.5291021782278696e-4	-2.061201680370842e-6
aeolomelodikon	8	-	-	NOT FOUND	NA	u	n	aeooeoio	o	3.54757179048699e-4	1.970882249588293e-4
aeolopantaleon	8	-	-	NOT FOUND	NA	u	n	aeooaaeo	o	3.547571790486782e-4	1.9708822495888986e-4
aeral	3	-	-	NOT FOUND	NA	u	l	aea	a	3.7693956415519784e-4	-3.15073908835343e-4
aerator	4	-	-	narzędzie ogrodnicze do spulchniania ziemi	артефакт	a	r	aeao	o	4.3253784662640677e-4	-1.1562427432276028e-4
aerob	3	-	-	NOT FOUND	NA	a	b	aeo	o	4.7602732534221477e-4	-4.888110170716608e-4
aerobic	4	-	-	NOT FOUND	NA	u	c	aeoi	i	-5.205213273238636e-4	7.90846536614041e-4
aerobiont	5	-	-	organizm mogący żyć tylko w obecności tlenu atmosferycznego	NA	a	nt	aeoio	o	1.5976006301735672e-4	-4.426121135098508e-6
aerodrom	4	-	-	lotnisko	NA	u	m	aeoo	o	2.8650827982121724e-4	-3.087769757572871e-4
aerofiltr	4	-	-	NOT FOUND	артефакт	both	ltr	aeoi	i	-5.557688744462606e-4	-2.1230395481935968e-4
aerofon	4	-	-	instrument dęty	артефакт	u	n	aeoo	o	3.873590592782693e-4	-2.840130309377026e-4
aerofor	4	-	-	NOT FOUND	NA	both	r	aeoo	o	3.2803591296987343e-4	-1.6756491812680127e-4
aerograf	4	-	-	przyrząd do rozpylania farb za pomocą sprężonego powietrza	артефакт	u	f	aeoa	a	3.750267555667046e-4	-3.196341143379997e-4
aeroklub	4	-	-	organizacja zrzeszająca pilotów sportowych, skoczków spadochronowych i modelarzy lotnictwa	NA	u	b	aeou	u	4.5774193608993924e-4	-6.230466317110704e-4
aerolit	4	-	-	kamienny meteoryt	NA	u	t	aeoi	i	-5.274429192455371e-4	-2.293431429998612e-4
aerometr	4	-	-	NOT FOUND	артефакт	both	tr	aeoe	e	2.900126917080622e-4	7.463235932253327e-4
aeroplan	4	-	-	samolot	артефакт	u	n	aeoa	a	3.695208099387351e-4	-3.197470623674897e-4
aeroplankton	5	-	-	mikroorganizmy zwierzęce i roślinne unoszące się biernie w powietrzu	NA	u	n	aeoao	o	1.411961066374977e-4	-1.7122237154787055e-4
aeroport	4	-	-	lotnisko	NA	u	rt	aeoo	o	3.4914948468354567e-4	-3.3041210575305907e-4
aerosiew	5	-	-	wysiewanie nasion lub rozsypywanie nawozów z samolotu	NA	u	w	aeoie	e	-7.926534271782357e-6	0.001037665159699074
aeroskop	4	-	-	pierwsza ręczna kamera zdjęciowa	NA	u	p	aeoo	o	3.020427553729955e-4	-3.38616811435824e-4
aerosol	4	-	-	zawiesina powstająca w wyniku rozproszenia ciała stałego albo cieczy w ośrodku gazowym	артефакт	u	l	aeoo	o	3.767370848185985e-4	-2.001976124661641e-4
aerostat	4	-	-	statek powietrzny lżejszy od powietrza, które sobą wypiera, np. balon lub sterowiec	артефакт	u	t	aeoa	a	2.6048184659640546e-4	-3.2767780973651716e-4
aerostep	4	-	-	ćwiczenia gimnastyczne, podczas których używa się specjalnego schodka	NA	u	p	aeoe	e	2.1624569442402067e-4	3.6604018080452086e-4
aerozol	4	-	-	zawiesina powstająca w wyniku rozproszenia ciała stałego albo cieczy w ośrodku gazowym	артефакт	u	l	aeoo	o	3.767370848185985e-4	-2.001976124661641e-4
aeroślizg	4	-	-	NOT FOUND	NA	u	zg	aeoi	i	-5.205141537409545e-4	-3.185608352946517e-4
aerożel	4	-	-	NOT FOUND	NA	u	l	aeoe	e	1.9129778594964325e-4	4.831659367433418e-4
afekt	2	-	-	stan silnego wzburzenia	NA	u	kt	ae	e	4.8180754891608506e-4	2.606180245129319e-4
affidavit	4	-	-	oświadczenie złożone pod przysięgą	NA	u	t	aiai	i	-9.508056797723749e-4	-2.422469787766214e-4
afgan	2	-	-	kobierzec pochodzący z Azji Środkowej	NA	a	n	aa	a	5.116234666479625e-4	-5.29328273244859e-4
aficyd	3	-	-	środek owadobójczy przeciwko mszycom	NA	u	d	aiy	y	-6.40096545218282e-4	-4.681977566634553e-4
afiks	2	-	-	cząstka słowotwórcza wyrazu	NA	u	ks	ai	i	-1.6300427810650022e-4	-3.504946119012395e-4
afisz	2	-	-	plakat powiadamiający o imprezie publicznej lub akcji	артефакт	a	sz	ai	i	-4.519092101579257e-5	-4.67872997463744e-4
aflaston	3	-	-	rzeźba zdobiąca dziób statku	NA	u	n	aao	o	4.0684562752085583e-4	-3.802109535919176e-4
afodos	3	-	-	NOT FOUND	NA	u	s	aoo	o	4.072501182341008e-4	-4.207000388800778e-4
afrikaans	4	-	-	jeden z języków urzędowych Republiki Południowej Afryki, Namibii i Zimbabwe	NA	u	ns	aiaa	a	2.6994519580783273e-4	-3.007631229641537e-4
afrodyzjak	4	-	-	środek wzmagający aktywność seksualną	NA	u	k	aoya	a	1.3091334440870964e-4	-1.100366386132031e-4
afront	2	-	-	zniewaga	NA	u	nt	ao	o	5.379049882042205e-4	-3.9347820279035515e-4
afrorock	3	-	-	NOT FOUND	NA	a	ck	aoo	o	4.312901662981309e-4	-4.582276595036367e-4
afterbeat	4	-	-	NOT FOUND	NA	u	t	aeea	a	9.871134545294247e-5	-3.529776832839359e-4
afterpik	3	-	-	NOT FOUND	NA	u	k	aei	i	-4.5548236043791487e-4	-8.963371600761415e-5
aftersztag	3	-	-	NOT FOUND	NA	u	g	aea	a	4.2664877399125803e-4	-4.361479673486844e-4
agalit	3	-	-	NOT FOUND	NA	u	t	aai	i	-5.192531237848277e-4	-2.8858988979555284e-4
agalmatolit	5	-	-	minerał używany do wyrobu drobnych przedmiotów ozdobnych	NA	u	t	aaaoi	i	-9.118773243191008e-4	-1.0070396388327421e-4
agamont	3	-	-	NOT FOUND	NA	u	nt	aao	o	4.1988283070216645e-4	-2.653627419343721e-4
agapant	3	-	-	lilia afrykańska	NA	u	nt	aaa	a	3.954606225300945e-4	-2.8389095324160975e-4
agar	2	-	-	galaretowata substancja uzyskiwana z wodorostów; też: wodorosty, z których się tę substancję otrzymuje	вещество	u	r	aa	a	5.955845498562355e-4	-4.744496178076643e-4
agar-agar	4	-	-	galaretowata substancja uzyskiwana z wodorostów; też: wodorosty, z których się tę substancję otrzymuje	вещество	u	r	aaaa	a	3.371718711706205e-4	-2.8708369300093966e-4
agat	2	-	-	minerał o różnobarwych pasmach używany w jubilerstwie	NA	u	t	aa	a	4.025845033056329e-4	-5.372590206138864e-4
agażant	3	-	-	NOT FOUND	NA	u	nt	aaa	a	3.954606225300945e-4	-2.8389095324160975e-4
agitator	4	-	-	zjednywanie zwolenników dla jakiejś sprawy	NA	a	r	aiao	o	3.3965850455708134e-4	-1.2200473801574867e-4
aglikon	3	-	-	NOT FOUND	NA	u	n	aio	o	4.0012604370748647e-4	-0.00038076385346375637
aglomerat	4	-	-	zlepek	NA	u	t	aoea	a	1.252500777378098e-4	-3.566513487166728e-4
agloporyt	4	-	-	NOT FOUND	NA	u	t	aooy	y	-5.738604874851939e-4	-3.4113077739518586e-4
aglutynant	4	-	-	NOT FOUND	NA	u	nt	auya	a	2.725382467320271e-4	-1.7466345705732228e-4
aglutynogen	5	-	-	NOT FOUND	NA	u	n	auyoe	e	7.242805268497202e-5	4.642795077377249e-4
agnus	2	-	-	medalionik z wosku z odciskiem baranka, symbolizującego Chrystusa	артефакт	a	s	au	u	6.868737153630497e-4	-6.619763490948281e-4
agon	2	-	-	NOT FOUND	NA	u	n	ao	o	5.248677850229099e-4	-5.083264144479005e-4
agrafon	3	-	-	słowa i poglądy przypisywane Jezusowi, niezapisane w Nowym Testamencie	NA	u	n	aao	o	4.0684562752085583e-4	-3.802109535919176e-4
agranulocyt	5	-	-	krwinka biała niezawierająca ziarnistości w cytoplazmie	NA	u	t	aauoy	y	-5.845369926837156e-4	-2.002992523832995e-4
agregat	3	-	-	całość powstała przez złączenie niejednorodnych części	артефакт	u	t	aea	a	3.781648131925195e-4	-3.8552663164507004e-4
agrest	2	-	-	krzew o kolczastych pędach i drobnych jadalnych owocach; też: owoc tego krzewu	растение	u	st	ae	e	5.233079656697346e-4	3.594159178436439e-4
agreśniak	4	-	-	NOT FOUND	NA	u	k	aeia	a	1.2805958166617313e-4	-1.1617802545716331e-4
agriofit	4	-	-	NOT FOUND	NA	u	t	aioi	i	-5.641639654760957e-4	-2.4021160079629913e-4
agrobiznes	4	-	-	działalność gospodarcza obejmująca produkcję rolną, przetwórstwo i handel artykułami rolnymi	NA	u	s	aoie	e	1.6853961295201759e-4	8.102963459361766e-4
agroekosystem	6	-	-	zespół organizmów roślinnych i zwierzęcych ukształtowany w wyniku działalności człowieka	NA	u	m	aoeoye	e	8.057904429681157e-5	6.110843886819503e-4
agrogaz	3	-	-	NOT FOUND	NA	u	z	aoa	a	4.4135812469965125e-4	-5.049201434069038e-4
agrokombinat	5	-	-	NOT FOUND	NA	u	t	aooia	a	8.839468605771082e-6	-2.2065772848840488e-4
agrokompleks	4	-	-	NOT FOUND	NA	u	ks	aooe	e	1.8722471809121954e-4	4.679838263529263e-4
agrometr	3	-	-	NOT FOUND	NA	u	tr	aoe	e	3.0301285763590426e-4	7.096885951320592e-4
aids	2	-	-	choroba zakaźna wywoływana przez wirus HIV	NA	a	ds	ai	i	-3.593764986181771e-4	-4.6119964177654925e-4
aigikranion	6	-	-	NOT FOUND	NA	both	n	aiiaio	o	1.5291021782280363e-4	-2.0612016802935202e-6
ailant	3	-	-	NOT FOUND	NA	u	nt	aia	a	3.876552097633243e-4	-2.807026880504997e-4
aioli	4	-	-	francuski sos z majonezu i czosnku	артефакт	u	V	aioi	i	-4.528188807326373e-4	-7.543468594789692e-5
airbag	3	-	-	poduszka powietrzna	артефакт	u	g	aia	a	5.133474798783834e-4	-4.1151609671900906e-4
airbus	3	-	-	NOT FOUND	артефакт	u	s	aiu	u	5.944625645262246e-4	-5.749329206102042e-4
ajer	2	-	-	tatarak	NA	u	r	ae	e	4.962642045268479e-4	3.6913931697013145e-4
ajerkoniak	5	-	-	likier sporządzony ze spirytusu, żółtek, cukru i wanilii	артефакт	u	k	aeoia	a	9.572526041161302e-5	5.791710898615834e-5
ajlant	2	-	-	NOT FOUND	NA	u	nt	aa	a	5.246606698292731e-4	-4.144800615873136e-4
ajmak	2	-	-	NOT FOUND	NA	a	k	aa	a	0.00040218475133424843	-3.432732908417631e-4
ajnsztajn	2	-	-	wielkość charakteryzująca światło	NA	both	jn	aa	a	5.902687036337363e-4	-5.81989384208557e-4
ajowan	3	-	-	NOT FOUND	NA	a	n	aoa	a	3.9197722456432634e-4	-4.192617123211087e-4
ajran	2	-	-	turecki napój ze słonego jogurtu, lodu i wody	артефакт	u	n	aa	a	6.112657045679429e-4	-5.0803483021402e-4
ajwar	2	-	-	pasta z bakłażanów, papryki, czosnku i octu	артефакт	u	r	aa	a	6.515847961795274e-4	-3.702932743722798e-4
akademik	4	-	-	członek akademii – instytucji skupiającej uczonych lub artystów	NA	a	k	aaei	i	-7.129910952004686e-4	-2.8398180332746292e-5
akant	2	-	-	roślina ozdobna o dużych, głęboko wciętych liściach	растение	u	nt	aa	a	5.703398520685293e-4	-2.6014704570222197e-4
akapicik	4	-	-	NOT FOUND	NA	both	k	aaii	i	-5.966278635950686e-4	-1.899700658196395e-5
akapit	3	-	-	ustęp tekstu zaczynający się od nowego wiersza	NA	u	t	aai	i	-5.192531237848277e-4	-2.8858988979555284e-4
akaroid	4	-	-	NOT FOUND	NA	u	d	aaoi	i	-7.76960126774417e-4	-2.5523343714069235e-4
akarycyd	4	-	-	środek chemiczny niszczący roztocza	NA	u	d	aayy	y	-7.968281988311048e-4	-3.9789579816673653e-4
akatyst	3	-	-	w liturgii bizantyjskiej: nabożeństwo ku czci Bogurodzicy, Chrystusa i świętych	NA	u	st	aay	y	-3.938269584838726e-4	-4.302605547745801e-4
akaustobiolit	7	-	-	niepalna skała osadowa pochodzenia organicznego	вещество	u	t	aauoioi	i	-4.028410955957964e-4	6.21811857558697e-5
akcelerator	5	-	-	urządzenie do przyśpieszania naładowanych elektrycznie cząstek	артефакт	a	r	aeeao	o	3.404900794431181e-4	5.974719352869069e-5
akcelerograf	5	-	-	NOT FOUND	NA	u	f	aeeoa	a	1.3855023360823574e-4	-1.9436749135214948e-4
akcelerometr	5	-	-	NOT FOUND	NA	u	tr	aeeoe	e	5.414049342257043e-5	9.199542419675114e-4
akcencik	3	-	-	wyróżnienie sylaby w wyrazie lub wyrazu w zdaniu za pomocą nasilenia głosu	NA	u	k	aei	i	-4.5548236043791487e-4	-8.963371600761415e-5
akcent	2	-	-	wyróżnienie sylaby w wyrazie lub wyrazu w zdaniu za pomocą nasilenia głosu	NA	u	nt	ae	e	4.68982316096574e-4	3.462459727859366e-4
akcept	2	-	-	zobowiązanie się do uiszczenia na zlecenie sumy wymienionej na wekslu lub czeku	NA	u	pt	ae	e	4.319350194387289e-4	2.9684744534765663e-4
akces	2	-	-	gotowość do udziału w czymś	NA	u	s	ae	e	0.00046451629695693853	1.8834512661541265e-4
akcik	2	-	-	NOT FOUND	NA	u	k	ai	i	-2.6964273459877293e-4	-2.2126464547170754e-4
akcjogram	3	-	-	graficzne przedstawie notowań akcji przedsiębiorstwa na giełdzie	NA	u	m	aoa	a	3.9076868302725465e-4	-4.227322141098543e-4
akcjonariat	5	-	-	forma własności przedsiębiorstwa polegająca na tym, że pracownicy są właścicielami części jego akcji	NA	u	t	aoaia	a	-3.6921985924672687e-6	-1.8530023255553318e-4
akcydens	3	-	-	druk okolicznościowy	NA	u	ns	aye	e	3.338172754302786e-4	4.7062368287383916e-4
akinakes	4	-	-	krótki obosieczny miecz z brązu, z poprzeczną sztabką u końca rękojeści, charakterystyczny dla kultury Scytów	NA	a	s	aiae	e	1.9236570674727808e-4	4.1568855217285995e-4
akolitat	4	-	-	obrzęd ustanowienia kogoś akolitą	NA	u	t	aoia	a	1.2661339899074642e-4	-3.198076409898258e-4
