word	syllables	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
apokryf	3	-	nepůvodní, podvržený spis; literární útvar používající známý motiv k alegorickému anebo parodickému srovnání s výkladem autora	NA	u	f	aoy	y	-4.090548474798947e-4	2.662891909868562e-4
arašíd	3	-	burský oříšek, pražený plod podzemnice olejné, burák	NA	u	d	aaí	í	6.466285735167763e-4	-4.3161802534401844e-5
arch	1	-	1. list papíru různé velikosti; 2. otisk tiskové formy poštovních cenin	NA	u	rch	a	a	-0.0022660063478086427	-9.337142811928018e-4
archetyp	3	-	pravzor, původní typ; výchovou i kulturou předávaný a přejímaný vzor	абстрактное понятие	u	p	aey	y	-0.0012852584187176914	0.002174773047840821
archiv	2	-	soubor písemností a dalších záznamů dokumentárního typu; instituce takové soubory shromažďující; budova nebo místnost, kde je takový soubor uložen	NA	u	v	ai	i	-0.0015317851729259192	-1.3478217881627186e-4
areál	3	-	vymezená část území, oblast, okolí, prostor; oblast rozšíření určitého taxonu	NA	u	l	aeá	á	5.90731363306628e-4	-0.0024938619872085697
argument	3	-	1. důkaz, důvod; 2. úhel, který svírá v Gaussově komplexní rovině průvodič bodu s kladným směrem osy x; 3. nezávisle proměnná veličina určité funkce	абстрактное понятие	u	nt	aue	e	0.0018158715213280878	0.0011820207074882984
arkýř	2	-	uzavřená část obytného domu vyčnívající z průčelí a spočívající na podpěrách	NA	u	ř	aý	ý	-7.21976141734871e-4	-0.00352873522937342
arsen	2	-	křehký stříbrošedý kov, jehož sloučeniny jsou prudce jedovaté	NA	u	n	ae	e	0.001013593636692166	5.252131007537548e-4
artefakt	3	-	umělý výtvor, lidský výrobek; 1. prehistorický nástroj; 2. uměle vzniklá nebo pozměněná struktura buněk	артефакт	u	kt	aea	a	-4.5068123430961e-4	-0.0010684112575594787
artikl	2	-	zboží, předmět obchodování	NA	u	kl	ai	i	-0.0017342206568233143	-1.5172001843904528e-4
arzenál	3	-	skladiště, zásobárna, obv. zbraní; zásoba prostředků	NA	u	l	aeá	á	5.90731363306628e-4	-0.0024938619872085697
asfalt	2	-	druh přívodní nebo syntetické živice hnědočerné až černé barvy	NA	u	lt	aa	a	-0.001833421313283278	-0.0013848559676566498
aspekt	2	-	stanovisko, pohled, hledisko, zřetel, vzhled; význačná poloha kosmického objektu vzhledem ke Slunci	абстрактное понятие	u	kt	ae	e	6.615416803235144e-4	0.0012926876791443831
ateliér	4	-	1. pracovna umělce, umělecká dílna; 2. krytý prostor k natáčení filmů	NA	u	r	aeié	é	-0.0013337652695213679	-4.800981691423912e-4
atentát	3	-	útok na život významné osoby, obv. z politických příčin	NA	u	t	aeá	á	5.598169674204037e-4	-0.002473785977383776
atest	2	-	ověřená listina; písemné osvědčení určitých vlastností výrobku, atestace	артефакт	u	st	ae	e	6.962278928270837e-4	9.590463813421098e-4
atol	2	-	korálový ostrov s vnitřní lagunou	NA	u	l	ao	o	-0.0011587265844947184	5.187836327638907e-4
atribut	3	-	neodlučitelná vlastnost, podstatný znak; přívlastek	абстрактное понятие	u	t	aiu	u	-0.001169288819195186	0.0019433156096873624
audit	3	-	revize účtů, účetnictví, auditing	NA	u	t	aui	i	-2.5312485248454907e-4	-1.8063614921298764e-4
aut	2	-	zahrání míče mimo vymezený hrací prostor	NA	u	t	au	u	-0.0015011930837825745	0.0013167574530865995
autobus	4	-	NOT FOUND	артефакт	u	s	auou	u	-0.0025256793718537785	0.0014311550352865386
autogram	4	-	vlastnoruční podpis autora	NA	u	m	auoa	a	-0.0014294392750906892	-0.0017292452624278788
autokar	4	-	turistický autobus	артефакт	u	r	auoa	a	-0.0016662860301510038	-0.001834508532091329
automat	4	-	1. pracovní nebo výrobní stroj pracující po zapnutí samočinně bez lidské obsluhy; 2. samočinný vypínač, jistič; 3. jídelna se samoobsluhou; 4. automatická zbraň	артефакт	u	t	auoa	a	-0.0015050152244054761	-0.0019365878676845985
automatismus	6	-	mechanická činnost, mechanické chápání	абстрактное понятие	u	s	auoaiu	u	-0.004332516214157239	0.004614254355742525
automobil	5	-	NOT FOUND	артефакт	u	l	auooi	i	-0.002381169103054354	0.0014827887982149486
autoservis	5	-	opravna automobilů	NA	u	s	auoei	i	-0.0028095217635042274	0.002677750376037133
autostop	4	-	1. zastavování projíždějících vozidel za účelem osobní přepravy; 2. zařízení k samočinnému zastavení vlaku, vlakové zabezpečovací zařízení	NA	u	p	auoo	o	-0.0016753390755715758	5.710306393663499e-4
axiom	3	-	postulát, tvrzení; základní nedokazatelná věta, samozřejmá i bez důkazu	NA	u	m	aio	o	-4.1489293881306227e-4	4.437709053174693e-4
azimut	3	-	směrový úhel, vodorovný úhel mezi vertikální rovinou obsahující daný směr a rovinou místního poledníku	NA	u	t	aiu	u	-7.203024729021114e-4	0.0014402704256499435
azur	2	-	blankyt, blankytná modř	NA	u	r	au	u	-0.0016624638895281019	0.0014188367886798687
azyl	2	-	útočiště, útulek; povolení pobytu poskytované cizím státním příslušníkům z politických důvodů	NA	u	l	ay	y	-0.0011158131296248105	5.761266072276787e-4
babylón	3	-	zmatek, chaos, zejm. jazykový; bludiště	NA	u	n	ayó	ó	-4.923706941339555e-4	6.271317414643316e-5
bagr	1	-	rypadlo	артефакт	u	gr	a	a	-0.0021330214108871	-8.797604386549216e-4
bajonet	3	-	bodák k nasazení na pušku	артефакт	u	t	aoe	e	0.002127786005640184	3.847904937778586e-4
bajt	1	-	jednotka informace sestávající z osmi bitů	NA	u	jt	a	a	-0.0022660063478086444	-9.337142811928051e-4
bakšiš	2	-	spropitné; drobný peníz	NA	u	š	ai	i	-0.0017821691902140462	4.243960166802558e-5
balast	2	-	zbytečnost	NA	u	st	aa	a	-0.0014715681405282535	-0.0012521473497631198
balkon	2	-	NOT FOUND	NA	u	n	ao	o	-0.0013167430452557859	4.934235946555159e-4
balkón	2	-	NOT FOUND	NA	u	n	aó	ó	-0.0014249094855009177	1.9717776686675555e-4
balon	2	-	NOT FOUND	NA	u	n	ao	o	-0.0013167430452557859	4.934235946555159e-4
balonek	3	ek	NOT FOUND	NA	u	k	aoe	e	0.005070849104103871	5.895022601460676e-4
balvan	2	an	NOT FOUND	NA	u	n	aa	a	-0.0016137868290138184	-0.0027706270563335445
balík	2	-	NOT FOUND	NA	u	k	aí	í	0.0014798375931886695	-1.0201874510613013e-4
balíček	3	ek	NOT FOUND	NA	u	k	aíe	e	0.005530102585663727	4.986914634799534e-4
balónek	3	ek	NOT FOUND	NA	u	k	aóe	e	0.005530102585663728	4.986914634799535e-4
banket	2	-	1. hostina pro velký počet osob; 2. nezpevněná krajnice silnice; 3. pevný základ stavby	NA	u	t	ae	e	0.0011406957015670093	5.706491486869233e-4
bankrot	2	ot	úpadek, krach	NA	u	t	ao	o	-0.0013489530831577213	6.408192916457128e-4
bar	1	-	1. noční zábavní podnik; 2. skříňka s likéry; 3. zvýšený pult k podávání nápojů; 3. starší jednotka atmosférického tlaku	NA	u	r	a	a	-0.001844158549118038	-5.624855527439084e-4
barel	2	el	americká objemová jednotka rovná 158,987 l	NA	u	l	ae	e	0.0021094203312150696	6.627655411932006e-4
baret	2	-	plochá měkká kulatá čepice bez štítku	NA	u	t	ae	e	0.0011406957015670093	5.706491486869233e-4
barometr	3	-	přístroj na měření atmosférického tlaku, tlakoměr	артефакт	u	tr	aoe	e	0.0025875798991393194	0.0012058012464815433
baryton	3	-	střední mužský hlas	NA	u	n	ayo	o	-3.6863558949507767e-4	2.3903582187475731e-4
barák	2	ák	NOT FOUND	NA	u	k	aá	á	0.001725266446276661	-0.003963967108281674
bas	1	-	1. hluboký mužský hlas; 2. nejhlubší člen příslušné nástrojové skupiny	NA	u	s	a	a	-0.0021643986455432587	1.6024561900884082e-5
basketbal	3	-	košíková	NA	u	l	aea	a	-1.7425049848915968e-4	-0.0012383527901809795
batalion	4	-	vojenská jednotka; velké množství lidí	NA	u	n	aaio	o	-0.001372410316968401	-4.0873443012606823e-4
batoh	2	-	NOT FOUND	NA	u	h	ao	o	-0.0015177096979799912	8.049861031550692e-4
bazar	2	-	obchod s použitým zbožím; tržiště, orientální trh; obchod se smíšeným zbožím horší jakosti	NA	u	r	aa	a	-0.0014037198025176612	-0.0016075930704483705
bazén	2	-	1. umělá vodní vodotěsná nádrž pro rekreační, sportovní,okrasné, požární i průmyslové účely; 2. kotviště lodí v přístavu	NA	u	n	aé	é	-0.0011876880142965322	-2.5292102488892455e-5
bek	1	-	ve sportovních hrách obránce	NA	u	k	e	e	0.00120094521505895	9.741246507644141e-4
benzen	2	-	nejjednodušší aromatický uhlovodík, bezbarvá kapalina charakteristického zápachu	вещество	u	n	ee	e	5.924021323487136e-4	4.96481597777205e-4
benzín	2	-	NOT FOUND	вещество	u	n	eí	í	1.1520903315282924e-4	-1.2375741202406813e-4
beran	2	an	NOT FOUND	NA	u	n	ea	a	-0.0016032013128926574	-0.0026670569893482436
beránek	3	ek	NOT FOUND	NA	u	k	eáe	e	0.005318915594617024	4.989336387292683e-4
bestseller	3	-	čtenářsky i obchodně úspěšná kniha	NA	u	r	eee	e	0.0018306126644254187	6.034715619142394e-4
beton	2	-	stavivo z kameniva, cementu, vody, popř. z přísad, po ztuhnutí tvrdé a stálé	вещество	u	n	eo	o	-0.0015882632139778412	4.903572509111637e-4
bez	1	-	NOT FOUND	NA	u	z	e	e	2.9768093833281318e-5	9.499220596998851e-4
bicykl	2	-	jízdní kolo	артефакт	u	kl	iy	y	-0.0018985246992477406	7.425561713549902e-4
biftek	2	ek	přírodní řízek z hovězího masa, beefsteak	NA	u	k	ie	e	0.0038593213928694568	6.716105939085403e-4
biograf	3	-	1. kino; 2. životopisec	NA	u	f	ioa	a	-4.3258989614832925e-4	-0.0013851365874950408
biorytmus	4	-	pravidelné střídání životních dějů	NA	u	s	ioyu	u	-0.0022151696807485087	0.001538463185330137
biskup	2	-	1. duchovní s nejvyšším stupněm svěcení; 2. výrůstek nad řitním otvorem drůbeže	NA	a	p	iu	u	-0.002012185193125783	0.0023239194794524606
bit	1	-	1. jednotka informace; 2. binární hodnota, jeden řád binární číslice	NA	u	t	i	i	-0.001775744280281749	4.172852599922142e-4
bivak	2	-	nouzový způsob přenocování pod širým nebem	NA	u	k	ia	a	8.627839070142799e-5	-0.0010513503474534603
bič	1	-	NOT FOUND	NA	u	č	i	i	-0.0020090787488916545	-0.002070499222417923
bičík	2	ík	NOT FOUND	NA	u	k	ií	í	0.002800575368021764	-3.9805105079665444e-4
blahobyt	3	-	NOT FOUND	NA	u	t	aoy	y	-2.0266137345987344e-4	4.721926755673937e-4
blatník	2	-	NOT FOUND	NA	u	k	aí	í	0.0014798375931886695	-1.0201874510613013e-4
blesk	1	-	NOT FOUND	NA	u	sk	e	e	-3.133444429350207e-5	0.0012361068721389447
blinkr	1	-	blikač, signalizační ukazatel	NA	u	nkr	i	i	-0.0024637784250190367	0.0011387803665197458
blok	1	-	1. skupina, celek vytvořený seskupením; 2. velký kus hmoty; 3. zábrana, překážka; 4. ve sportu obranná činnost	NA	u	k	o	o	-6.741202225497128e-4	0.001040862643492516
blond	1	-	světlovlasý, plavý	NA	u	nd	o	o	-0.001765150739987758	0.0015750605085162721
blud	1	-	NOT FOUND	NA	u	d	u	u	-0.0023250062503528232	0.0019518810434373767
blues	2	-	hudební a pěvecký styl černošských muzikantů	NA	u	s	ue	e	3.494037725388091e-4	0.0011650566475679737
blázinec	3	ec	NOT FOUND	NA	u	c	áie	e	0.006067790058840092	0.0015518341008110093
bob	1	-	závodní saně	NA	u	b	o	o	-0.0020756902242296637	0.0013203767472166582
bobek	2	ek	NOT FOUND	NA	u	k	oe	e	0.0037661367154439005	7.351809390055593e-4
bochník	2	-	NOT FOUND	NA	both	k	oí	í	0.0016294508546216965	5.245768068288265e-5
bochánek	3	ek	NOT FOUND	NA	u	k	oáe	e	0.0053717123423787025	4.988730949169392e-4
bod	1	-	NOT FOUND	NA	u	d	o	o	-0.001963596206713927	0.0010888552667425312
bodec	2	ec	NOT FOUND	NA	u	c	oe	e	0.004234792338913748	0.0016245806708102357
bodák	2	ák	NOT FOUND	NA	u	k	oá	á	0.0016261392418417686	-0.004072992368876406
boj	1	-	NOT FOUND	NA	u	j	o	o	-0.0018361985363008065	0.001240794992645346
bojler	2	-	zásobník a ohřívač vody	артефакт	u	r	oe	e	6.61802811234687e-4	6.325485082306197e-4
bok	1	-	NOT FOUND	NA	u	k	o	o	-6.741202225497128e-4	0.001040862643492516
bol	1	-	NOT FOUND	NA	u	l	o	o	-0.0016725528769636917	9.577284755043812e-4
bolehlav	3	-	NOT FOUND	NA	u	v	oea	a	-4.5492196745117755e-4	-0.0010103935235863777
boltec	2	ec	NOT FOUND	NA	u	c	oe	e	0.004234792338913748	0.0016245806708102357
bolák	2	ák	NOT FOUND	NA	u	k	oá	á	0.0016261392418417686	-0.004072992368876406
bombardér	3	-	NOT FOUND	NA	u	r	oaé	é	-3.2999054204804886e-4	1.6767208285843602e-4
bon	1	-	cenný papír	артефакт	u	n	o	o	-0.0020459180027085654	8.632406137726728e-4
bonbon	2	-	NOT FOUND	NA	u	n	oo	o	-0.0012532537007394439	5.131156783813712e-4
bonbón	2	-	NOT FOUND	NA	u	n	oó	ó	-0.00139318914346043	2.0990454234017813e-4
bonbónek	3	ek	NOT FOUND	NA	u	k	oóe	e	0.005530102585663725	4.986914634799539e-4
bond	1	-	závazek, dluhopis, obligace	артефакт	u	nd	o	o	-0.001980499404971564	0.0015059326848929383
bonmot	2	ot	vtipné slovo, rčení, úsloví, vtip	NA	u	t	oo	o	-0.0012854637386413793	6.605113753715683e-4
bonsaj	2	-	strom nebo keř pěstovaný tak, že je výrazně menší než v přírodě	NA	u	j	oa	a	-0.0012558246324523234	-7.599453229561842e-4
bonus	2	us	sleva z ceny, dobropis, prémie	абстрактное понятие	u	s	ou	u	-0.0030454690026834592	0.0037864233988776537
boom	2	-	náhlý rozmach, vzestup,konjunktura, prosperita	NA	u	m	oo	o	-0.0012659243515336191	6.967665079479257e-4
bordel	2	-	1. nevěstinec, veřejný dům; 2. nepořádek, zmatek	NA	u	l	oe	e	0.0010693366778502444	5.795209864358903e-4
bowling	2	-	druh kuželkářského sportu hraný na 10 kuželek s těžší a větší koulí	NA	u	ng	oi	i	-0.001620361133652594	-1.9892645458224512e-4
box	1	-	1. měkká chromitá useň s hladkým lícem; 2. rohování, pěstní zápas; 3. oddělené, ohrazené místo	NA	u	x	o	o	-0.0017507007334249518	0.0012663261779387765
brak	1	-	odpad, chybné zboží, zmetek; podřadná, pokleslá literatura	NA	u	k	a	a	-6.535406930723071e-4	-6.01506730173837e-4
brambor	2	-	NOT FOUND	NA	u	r	ao	o	-0.00135091178612647	6.409389781819538e-4
brek	1	-	NOT FOUND	NA	u	k	e	e	0.00120094521505895	9.741246507644141e-4
briefing	3	-	krátké setkání činitele nebo mluvčího s novináři, informativní schůzka	NA	u	ng	iei	i	-8.118452078838389e-4	-1.795023254124537e-4
briliant	3	-	1. nejběžnější výbrus drahokamů, zejm. diamantů; 2. diamantový šperk; 3. písmo o velikosti 3 bodů	NA	u	nt	iia	a	3.6897990892938024e-4	-7.924455762333538e-4
brloh	1	-	NOT FOUND	NA	u	h	o	o	-0.0020315359904489647	0.0012439309458955597
brod	1	-	NOT FOUND	NA	u	d	o	o	-0.001963596206713927	0.0010888552667425312
brok	1	-	NOT FOUND	NA	u	k	o	o	-6.741202225497128e-4	0.001040862643492516
bronz	1	-	NOT FOUND	NA	u	nz	o	o	-0.002295679823340065	0.0016157601552758156
brífink	2	-	krátké setkání činitele nebo mluvčího s novináři, informativní schůzka	NA	u	nk	íi	i	-0.0018461287984588362	3.459030311587181e-4
buben	2	-	NOT FOUND	NA	u	n	ue	e	7.038126098347139e-4	4.390311493967431e-4
bubák	2	ák	NOT FOUND	NA	u	k	uá	á	0.0017090737844597768	-0.003802402916121441
bubínek	3	ek	NOT FOUND	NA	u	k	uíe	e	0.005530102585663728	4.986914634799548e-4
buch	1	-	NOT FOUND	NA	u	ch	u	u	-0.002281753405118489	0.002141078684092419
buchar	2	-	NOT FOUND	NA	u	r	ua	a	-0.001310263141531631	-0.0014565308225557517
buddhismus	3	-	indické nábožensko-filozofické učení o cestách k dosažení nirvány	абстрактное понятие	u	s	uiu	u	-0.0016531951159165148	0.0026402484502861625
budík	2	-	NOT FOUND	NA	u	k	uí	í	0.0016053261690049253	9.217551866160722e-5
budíček	3	ek	NOT FOUND	NA	both	k	uíe	e	0.005530102585663728	4.986914634799548e-4
bufet	2	-	1. jídelna se samoobsluhou; 2. rychlé občerstvení; 3. stůl nebo místnost s občerstvením	NA	u	t	ue	e	8.309146747095573e-4	4.8446719732991167e-4
bujón	2	-	1. silný masový vývar; 2. živný roztok, půda pro kultivaci bakterií	вещество	u	n	uó	ó	-0.0017790605811959291	1.675301643956321e-4
buldozer	3	-	stavební stroj, čelný shrnovač	артефакт	u	r	uoe	e	0.0011371985752822566	3.302738074301946e-4
bulletin	3	in	věstník, přehled zpráv	артефакт	u	n	uei	i	-9.83054943005419e-4	-0.0010113517180322506
bulvár	2	-	1. široká a živá ulice ve velkoměstě; 2. věc bulvárního rázu	NA	u	r	uá	á	-2.84217117607047e-4	-0.0022441026383299948
bunkr	1	-	úkryt, kryt	NA	u	nkr	u	u	-0.0027529114612260997	0.0025623253685515524
buran	2	an	1. hrubián, neotesanec, křupan, neomalenec; 2. silný stepní vítr	NA	u	n	ua	a	-0.0015203301680277882	-0.0026195648084409253
buš	1	-	porost suchomilných keřů a nízkých stromů savan a polopouští	NA	u	š	u	u	-0.00254757639057253	0.0022011220842656095
byt	1	-	NOT FOUND	NA	u	t	y	y	-0.0016042002908335485	0.0011298350422623618
byte	2	-	jednotka informace sestávající z osmi bitů	NA	u	V	ye	e	0.0017250603278810804	5.44451353748713e-4
byznys	2	-	obchod, obchodování; povinnost, úkol, starost	абстрактное понятие	u	s	yy	y	-0.002394167662787204	0.0024692195391312777
bál	1	-	ples	NA	u	l	á	á	-9.262818620036822e-4	-0.0015226037298683237
bát	1	-	NOT FOUND	NA	u	t	á	á	-9.571962578899065e-4	-0.00150252772004353
bílek	2	ek	NOT FOUND	NA	u	k	íe	e	0.004275126415978845	6.822813033997128e-4
běh	1	-	NOT FOUND	NA	u	h	ě	ě	-0.0018773341055940832	9.637936260571059e-4
bělouš	3	ouš	NOT FOUND	NA	u	š	ěou	u	-0.0014506432618934812	0.0027591878158261447
běs	1	-	NOT FOUND	NA	u	s	ě	ě	-0.0020307762901657827	0.0013782566157287829
břeh	1	-	NOT FOUND	NA	u	h	e	e	-1.5647055284030202e-4	0.001177192953167458
březen	2	-	NOT FOUND	NA	a	n	ee	e	8.600166427877778e-4	5.237791378383126e-4
břich	1	-	NOT FOUND	NA	both	ch	i	i	-0.001992620368911426	7.175336820606122e-4
břit	1	-	NOT FOUND	NA	u	t	i	i	-0.001775744280281749	4.172852599922142e-4
bůček	2	ek	NOT FOUND	NA	u	k	ůe	e	0.003906674562351715	6.42830206472227e-4
cecek	2	ek	NOT FOUND	NA	u	k	ee	e	0.0037148331411425025	7.047991285163564e-4
cech	1	-	středověká organizace řemeslníků	NA	u	ch	e	e	-4.527792387093053e-5	0.0012113149146694713
cedr	1	-	jehličnatý strom rostoucí ve Středomoří	NA	u	dr	e	e	1.1103927014735818e-5	9.738300350136268e-4
cejch	1	-	1. úřední značka potvrzující přesnost a správnost funkce měřidel a přístrojů; 2. neodstranitelné označení osoby, zvířete nebo věci	NA	u	jch	e	e	4.079635443948431e-4	0.0015121617753196097
celek	2	ek	NOT FOUND	NA	u	k	ee	e	0.0037148331411425025	7.047991285163564e-4
celer	2	-	NOT FOUND	NA	u	r	ee	e	8.258479019170936e-4	6.712945213647505e-4
cement	2	-	1. prášková stavební hmota; 2. tmel užívaný v zubním lékařství	вещество	u	nt	ee	e	0.0011761369613143401	8.289924045018809e-4
cent	1	-	1. metrický cent,100 kg; 2. drobná mince dolaru, guldenu a jiných měnových jednotek	NA	u	nt	e	e	6.282309288495298e-4	0.0011981412513925806
ceník	2	-	NOT FOUND	NA	u	k	eí	í	0.00153927265876694	1.2034334133548851e-5
cep	1	-	NOT FOUND	NA	u	p	e	e	-1.655949395235599e-4	0.001496794311425992
ceremoniál	5	-	obřad; slavnost; obvyklý postup, procedura	абстрактное понятие	u	l	eeoiá	á	-0.00197000813253714	5.946545518966197e-4
certifikát	4	-	průkaz, osvědčení, potvrzení,ověření správnosti	артефакт	u	t	eiiá	á	-8.193678083480921e-4	-0.002712041478015239
chaos	2	-	zmatek, nepořádek; stav s vysokou neuspořádaností	абстрактное понятие	u	s	ao	o	-0.0021201382288447653	0.0017224942768641657
charakter	3	-	povaha; souhrn vlastností, u člověka zejm. morálních; osobnost	абстрактное понятие	u	r	aae	e	9.726638055327048e-4	9.501446545443744e-4
chevrolet	3	-	NOT FOUND	NA	u	t	eoe	e	0.0016270114173812095	4.17466709019492e-4
chlad	1	-	NOT FOUND	NA	u	d	a	a	-0.0019430166772365217	-5.535141069238219e-4
chladič	2	ič	NOT FOUND	NA	u	č	ai	i	-0.0018776158640541971	-0.004679723592922216
chlast	1	-	NOT FOUND	NA	u	st	a	a	-0.0019120068871286303	-2.0703983205865774e-4
chlor	1	-	NOT FOUND	NA	u	r	o	o	-0.0018647380785954436	0.0010798838209224442
chloupek	3	ek	NOT FOUND	NA	u	k	oue	e	0.005343754460730089	5.190589304356172e-4
chlup	1	-	NOT FOUND	NA	u	p	u	u	-0.0024020704207711185	0.0024265580808489396
chléb	1	-	NOT FOUND	NA	a	b	é	é	-0.001994064305308341	9.21120538091666e-4
chlév	1	-	NOT FOUND	NA	a	v	é	é	-0.001854156410724184	7.616183179614742e-4
chlívek	2	ek	NOT FOUND	NA	both	k	íe	e	0.004275126415978845	6.822813033997128e-4
