word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
agrotechnik	+	-	4	k	aoei	i	ik	"-a-ciodborník v agrotechnike;"	
ajatolláh	+	-	4	h	aaoá	á		"[-olá-] -a-ovia(duchovný) vodca časti mohamedánov (šiitov), ktorí za jediný prameň viery uznávajú korán (nie ústne podanie)"	
akademik	+	-	4	k	aaei	i	ik	"-a-ciriadny člen akadémie vied;"	
akcionár	+	-	4	r	aioá	á		"-aúčastinár"	
akordeón	-	+	4	n	aoeó	ó		"-uchromatická ťahacia harmonika s klávesnicou"	артефакт
akrobat	+	-	3	t	aoa	a		"-akto robí akrobacie: letecký a.;"	
aktér	+	-	2	r	aé	é		"-aúčastník istej činnosti ver. al. skup. zamerania: a-i podpisovej akcie; všetci a-i konferencie;"	
aktivista	-	+	4		aiia	a		"-uaktívny pomocník nejakého orgánu ;"	
aktív	-	+	2	v	aí	í		"-u 1. prac. schôdzka členov al. funkcionárov organizácie2. súbor aktivistov"	
akvamarín	-	+	4	n	aaaí	í	ín	"-u 1.drahokam modrozelenej farby2.modrozelená farba;"	
akvarelista	-	+	5		aaeia	a		NOT FOUND	
akvarista	-	+	4		aaia	a		NOT FOUND	
albinizmus	-	+	4	s	aiiu	u		NOT FOUND	
album	-	+	2	m	au	u		"-uzbierka fotografií, pošt. známok ap. v podobe knihy al. zošita: rodinný a., a. známok"	артефакт
alergik	+	-	3	k	aei	i	ik	"-a-cikto je postihnutý alergiou: zhoršením životného prostredia pribúda a-ov;"	
alergiológ	+	-	5	g	aeioó	ó		"-a-oviaodborník v alergiológii;"	
algoritmus	-	+	4	s	aoiu	u		"-mupredpis poradia úkonov na riešenie zložitej úlohy (najmä pri výpočtových programoch)"	
alibista	-	+	4		aiia	a		"-ukto sa uchyľuje k alibizmu;"	
alibizmus	-	+	4	s	aiiu	u		"-mukonanie s úsilím neniesť za nič zodpovednosť;"	
alizarín	-	+	4	n	aiaí	í	ín	NOT FOUND	
alkoholik	+	-	4	k	aooi	i	ik	"-a-cikto sa oddáva alkoholizmu;"	
alkoholizmus	-	+	5	s	aooiu	u		"-munemierne pitie liehovín, pijanstvo"	
alkohol	-	+	3	l	aoo	o		"-u 1.lieh2.liehový nápoj;"	
almanach	-	+	3	ch	aaa	a		"-uročenka: študentský, básnický a.;"	артефакт
alogizmus	-	+	4	s	aoiu	u		NOT FOUND	
alonž	-	+	2	nž	ao	o		NOT FOUND	
alpinizmus	-	+	4	s	aiiu	u		NOT FOUND	абстрактное понятие
altista	-	+	3		aia	a		"-uspevák spievajúci altom;"	
altruista	-	+	4		auia	a		"-ukto dbá na prospech iných,egoista;"	
altruizmus	-	+	4	s	auiu	u		"-munezištný spôsob zmýšľania a konania v prospech iných,egoizmus;"	абстрактное понятие
alt	-	+	1	lt	a	a		"-unižší žen. al. chlapčenský hlas;"	
amalgám	-	+	3	m	aaá	á		"-uzliatina kovu s ortuťou;"	
amatér	+	-	3	r	aaé	é		"-akto niečo pestuje zo záľuby, nie z povolania,profesionál: preteky športových a-ov;fotografista a.;"	
amaterizmus	-	+	5	s	aaeiu	u		"-mupestovanie niečoho zo záľuby,profesionalizmus"	абстрактное понятие
ambasádor	+	-	4	r	aaáo	o		NOT FOUND	
ambit	-	+	2	t	ai	i		"-uotvorená stĺpová chodba"	
amok	-	+	2	k	ao	o		"-uchorobná zúrivosť: záchvat a-u"	
amoniak	-	+	4	k	aoia	a		"[-n-] -uzlúčenina dusíka s vodíkom, bezfarebný plyn dusivého zápachu, čpavok;"	
amor	+	-	2	r	ao	o		"-abôžik zobrazovaný v podobe chlapca s lukom a šípmi ako symbol lásky"	
amplión	+	+	3	n	aió	ó		"-a/-urozhlas. reproduktor"	
analfabet	+	-	4	t	aaae	e		"-anegramotný človek;"	
analfabetizmus	-	+	6	s	aaaeiu	u	izmus	"-munegramotnosť;"	
analista	-	+	4		aaia	a		NOT FOUND	
analytik	+	-	4	k	aayi	i	ik	NOT FOUND	
anatóm	+	-	3	m	aaó	ó		NOT FOUND	
angažmán	-	+	3	n	aaá	á		"-uzmluva na pod(áv)anie umel. výkonu (v súbore); takto získané zamestnanie: dostať, prijať a."	
angličtinár	+	-	4	r	aiiá	á		"-aanglista;"	
anilín	-	+	3	n	aií	í	ín	"[-n-l-] -ubezfarebná jedovatá kvapalina použ. na výr. farbív a liekov;"	
animista	-	+	4		aiia	a		NOT FOUND	
animizmus	-	+	4	s	aiiu	u		NOT FOUND	
anión	-	+	3	n	aió	ó		"-a/-uzáporne nabitý ión,katión"	
aníz	-	+	2	z	aí	í		"[an-] -u 1. bylina príbuzná rasci,bedrovník a. 2. jej drobné voňavé plody použ. ako korenie a liečivo;"	
anonym	-	+	3	m	aoy	y		"-u anonymný list, telefonát ap.: dostávať a-y"	
antagonista	-	+	5		aaoia	a		NOT FOUND	
antagonizmus	-	+	5	s	aaoiu	u		"-munezmieriteľné protirečenie: triedny a.;"	абстрактное понятие
antropocentrizmus	-	+	6	s	aooeiu	u		NOT FOUND	абстрактное понятие
antropológ	+	-	4	g	aooó	ó		"-a-oviaodborník v antropológii;"	
apač	+	-	2	č	aa	a		NOT FOUND	
aparátnik	+	-	4	k	aaái	i	ik	"-a-ci pracovník straníckeho aparátu; funkcionársky byrokrat: správa sa ako bývalý a."	
aparát	-	+	3	t	aaá	á		"-u 1. prístroj: fotografický, premietací a.2. výkonný admin. orgán, úrad; jeho pracovníci: štátny, stranícky a.;byrokratický a."	артефакт
apartheid	-	+	4	d	aaei	i		"-urasová diskriminácia farebného obyvateľstva, rasová odlúčenosť"	
apartmán	-	+	3	n	aaá	á		"-u(hotelová) bytová jednotka s príslušenstvom"	
apetít	-	+	3	t	aeí	í		"[-t-] -uchuť do jedla: mať dobrý a., jesť s a-om"	абстрактное понятие
aplauz	-	+	3	z	aau	u		"-upotlesk (v divadle, na koncerte ap.): búrlivý a., po prejave zaznel a."	
apo	+	+	2		ao	o		"-u-oviaotec;"	
apokryf	-	+	3	f	aoy	y		"-u 1. nepravý, podvrhnutý spis2.nepravý bibl. spis, neprijatý do kánonu inšpirovaných kníh;"	
apoštol	+	-	3	l	aoo	o		"-a 1.jeden z 12 Kristových učeníkov2. šíriteľ kresťanskej viery: slovanskí a-i sv. Cyril a Metod;laickí a-i3.hlásateľ, šíriteľ nejakej idey: a. humanizmu;"	
apoštolát	-	+	4	t	aooá	á		NOT FOUND	
apostrof	-	+	3	f	aoo	o		"-uznamienko označujúce vypustenie hlásky"	
aranžér	+	-	3	r	aaé	é		"-akto aranžuje: a. výkladnej skrine;a. výstavy;"	
archaizmus	-	+	4	s	aaiu	u		"-muzastar. jazykový prostriedok použ. na vyvolanie dojmu starobylosti ( meruôsmy);"	абстрактное понятие
archanjel	+	-	3	l	aae	e		"[-ňiel] -aanjel vyššieho stupňa hodnosti: a-i Michal, Gabriel a Rafael;"	
árendátor	+	-	4	r	áeáo	o		NOT FOUND	
argot	-	+	2	t	ao	o	ot	"-ureč protispoločenskej skupiny, v kt. vyjadrovacie prostriedky majú utajiť komunikované skutočnosti;"	
aristokrat	+	-	4	t	aioa	a		"-a 1. príslušník aristokracie, šľachtic: anglickí a-i2.človek vybraných spôsobov: a. ducha;"	
artilerista	-	+	5		aieia	a		NOT FOUND	
artista	-	+	3		aia	a		"-ucirkusový al. varietný umelec: skupina a-ov;"	
asfalt	-	+	2	lt	aa	a		"-učierna lesklá živicová látka použ. pri stavbe ciest, na izoláciu ap.;"	вещество
asketik	+	-	3	k	aei	i	ik	NOT FOUND	
asketizmus	-	+	4	s	aeiu	u		NOT FOUND	абстрактное понятие
aspik	-	+	2	k	ai	i	ik	"-urôsol: ryba, šunka v a-u"	
astmatik	+	-	3	k	aai	i	ik	"-a-cikto je chorý na astmu;"	
astrológ	+	-	3	g	aoó	ó		"-a-oviakto sa zaoberá astrológiou;"	
astronaut	+	-	4	t	aoau	u		"-akozmonaut;"	
astronóm	+	-	3	m	aoó	ó		NOT FOUND	
atak	-	+	2	k	aa	a		"-uútok, nápor, napadnutie"	
ateista	-	+	4		aeia	a		"-u 1. kto popiera jestvovanie Boha2. stúpenec ateizmu;"	
ateizmus	-	+	4	s	aeiu	u		NOT FOUND	абстрактное понятие
atribút	-	+	3	t	aiú	ú		"-u 1.podstatná, nevyhnutná vlastnosť niečoho, príznak: a-y národa2.prívlastok;"	абстрактное понятие
audiotex	-	+	5	x	auioe	e		NOT FOUND	
autičkár	+	-	4	r	auiá	á		"-akto odcudzuje autá: banda a-ov; chytiť a-ov pri čine"	
autoalarm	-	+	5	rm	auoaa	a		"-upoplašný bezpečnostný mechanizmus na automobiloch: dať si namontovať a."	артефакт
autobus	+	+	4	s	auou	u		"-u/-aveľké motor. vozidlo na hromadnú dopravu;"	
autodróm	-	+	4	m	auoó	ó		"-u 1. skúšobná al. pretekárska trať pre motor. vozidlá2. zábavný podnik s autíčkami na elektr. pohon"	
autogén	-	+	4	n	auoé	é		"-uautogénny prístroj: zvárať a-om;"	
autogram	-	+	4	m	auoa	a		"-uvlastnoručný podpis: a. autora"	
autokar	-	+	4	r	auoa	a		"-uturist. autobus s príslušným vybavením;"	
autokemping	-	+	5	ng	auoei	i		"-u 1. táborenie motoristov v prírode, kemping2. priestor na takéto táborenie, kemping: nocovať v a-u"	
autokrat	+	-	4	t	auoa	a		NOT FOUND	
autokros	-	+	4	s	auoo	o		"-uterénne automobilové preteky"	
automat	-	+	4	t	auoa	a		"-u 1. prístroj samočinne vykonávajúci určené úkony: a. na plnenie konzerv, hrací a.2. samopal: strieľať z a-u● robiť ako a. a) rýchlo b) bezmyšlienkovite"	
automobilista	-	+	7		auooiia	a		"-uvodič auta;"	
automobilizmus	-	+	7	s	auooiiu	u		"-muaut. doprava; aut. šport;"	абстрактное понятие
automobil	-	+	5	l	auooi	i		"-udvojstopové cestné motor. vozidlo na prepravu osôb al. nákladov, auto: osobný, nákladný a.;továreň na a-y;"	артефакт
autonomista	-	+	6		auooia	a		NOT FOUND	
autor	+	-	3	r	auo	o		"-apôvodca, tvorca: a. knihy, hry, sochy, myšlienky;"	
aut	-	+	2	t	au	u		"-u 1. priestor za hraničnými čiarami ihriska: zahrať loptu do a-u2. zahranie lopty von z ihriska: rozhodca odpískal a.;"	
avanturista	-	+	5		aauia	a		NOT FOUND	
aviril	-	+	3	l	aii	i		NOT FOUND	
azbestocement	-	+	5	nt	aeoee	e		"-uzmes cementového betónu a azbestu, príp. s pridaním anorg. vláken a farbív;"	
azbest	-	+	2	st	ae	e		"-uvláknitý nehorľavý minerál použ. na izoláciu;"	вещество
aziat	+	-	3	t	aia	a		"-adivoch, barbar: má spôsoby a-a;"	
azimut	-	+	3	t	aiu	u		"-uuhol, kt. zviera zvislá rovina s rovinou poludníka"	
ažúr	-	+	2	r	aú	ú		NOT FOUND	
azyl	-	+	2	l	ay	y		"-upolit. útočisko; povolenie pobytu cudzincovi (obyč. polit. utečencovi) v štáte: právo a-u, požiadať o a.;"	абстрактное понятие
bábkar	+	-	2	r	áa	a		"-akto účinkuje v bábkovom divadle;"	
babrák	+	-	2	k	aá	á	ák	"-a-ci nešikovný, ťarbavý človek, babroš, fušer;"	
babroš	+	-	2	š	ao	o	oš	"-a babrák: b., všetko pokazí"	
bádateľ	+	-	3	ľ	áae	e		"-a-iavedec, učenec;"	
bájkar	+	-	2	r	áa	a		"-aautor bájok;"	
bajonet	+	+	3	t	aoe	e		"-a/-ubodák: puška s nastoknutým b-om;zajatci kráčali pod b-mi"	артефакт
bajt	-	+	1	jt	a	a		NOT FOUND	
bakelit	-	+	3	t	aei	i		"-ulátka zo syntetickej živice;"	
baklažán	-	+	3	n	aaá	á		"-u 1. rastlina s veľkými hruškovitými plodmi tmavofialovej farby používanými ako zelenina,ľuľok b. 2. jej plodbakšiš -aprepitné, obslužné; úplatok: dostať, dať b."	
bakteriológ	+	-	5	g	aeioó	ó		"-a-oviaodborník v bakteriológii;"	
balast	-	+	2	st	aa	a		"-unepotrebná príťaž: slovný b.;odhodiť b.;b. minulosti"	артефакт
baldachýn	-	+	3	n	aaý	ý		"-uozdobná plochá strieška (na starodávnej posteli, nosená pri slávnostných obradoch ap.): posteľ, trón s b-om"	
baletník	+	-	3	k	aeí	í	ník	"-a-citanečník v balete"	
balet	-	+	2	t	ae	e		"-u 1. umel. mimický tanec2. javiskové tanečné dielo, jeho div. predstavenie: premiéra b-u Luskáčik3. div. tanečný súbor: b. Slovenského národného divadla;"	
balič	+	-	2	č	ai	i	č	"-akto pracuje pri balení: b. ovocia;"	
balíček	+	-	3	k	aíe	e	íček	"-čka : b. čaju;"	артефакт
balík	+	-	2	k	aí	í	ík	"-a 1. zabalené predmety; čo je zabalené: b. kníh;urobiť b.;poslať b. poštou2.súbor rovnorodých vecí, predmetov: b. problémov, b. peňazí;b. opatrení3.súbor programov: softvérový b.;"	артефакт
balvan	+	-	2	n	aa	a		"-aveľký kameň: žulový b.;● leží mu to ako b. na prsiach pociťuje veľkú tieseň, starosť"	
balzam	-	+	2	m	aa	a		"-u 1. voňavá živica niekt. cudzokrajných stromov2. voňavá hojivá masť: vietnamský b.;liať b. na ranyposkytovať útechu3. kozmet. emulziový prípravok: vlasový, telový b."	
banán	+	+	2	n	aá	á		"-a/-užltý podlhovastý dužnatý plod banánovníka;"	
banánik	+	-	3	k	aái	i	ik	"-a 1.banán2. kontaktný kolík použ. pri prevádzke elektr. prístrojov: b. antény"	
banánovník	+	-	4	k	aáoí	í	ovník	"-atropický strom plodiaci banány,"	
bandita	-	+	3		aia	a		"-ulupič, lúpežník, zbojník"	
baník	+	-	2	k	aí	í	ník	"-a-cipracovník, robotník v bani;"	
bankár	+	-	2	r	aá	á		NOT FOUND	
banket	-	+	2	t	ae	e		"-uoficiálna slávnostná hostina: dávať, usporiadať b.;"	
bankrot	-	+	2	t	ao	o	ot	"-ufin. úpadok; neschopnosť hospodársky prosperovať, platiť dlhy: podnik je v b-e; ísť do b-u; zákon o b-e o konkurze a vyrovnaní;"	абстрактное понятие
barak	+	+	2	k	aa	a		"-a/-u 1. drevená stavba na dočasné spoločné ubytovanie: staré, vojenské, študentské b-y2.(rodinný) dom;"	
barbar	+	-	2	r	aa	a		"-a 1. cudzinec u starých Grékov a Rimanov2.nekult., nevzdelaný surovec: sú to b-i, ničia prírodu;"	
barbiturát	-	+	4	t	aiuá	á		NOT FOUND	
barchet	-	+	2	t	ae	e		"-uhrubá bavlnená látka;"	
barón	+	-	2	n	aó	ó		"-apríslušník nižšej šľachty;"	
baša	-	+	2		aa	a		"-u-oviapaša"	
básnik	+	-	2	k	ái	i	ik	"-a-cislovesný umelec, kt. tvorí básne: slovenský b. Hviezdoslav;lyrický b.;"	
batoh	+	-	2	h	ao	o		"-azviazané veci nesené na chrbte, noša: b. trávy, raždia, bielizne;poviazať veci do b-a;vojenský b.;"	артефакт
bazalt	-	+	2	lt	aa	a		NOT FOUND	
bazén	+	+	2	n	aé	é		"-a/-uumelá vodná nádrž na kúpanie: krytý b."	
béčkar	+	-	2	r	éa	a		NOT FOUND	
bedár	+	-	2	r	eá	á		"-a 1. biedny, chudobný človek, žobrák: vidiecki, mestskí b-i2.mrzák, úbožiak: b. na nohy chromý;duševný b.;"	
behák	+	-	2	k	eá	á	ák	"-a spodná časť nôh vtákov: orol má mohutné b-y"	
behúľ	+	-	2	ľ	eú	ú		NOT FOUND	
beh	-	+	1	h	e	e		"-u 1. bežanie (aj ako šport. disciplína): pustiť sa, dať sa do b-u;v (plnom) b-u bežiac;b. na 100 m;prekážkový b.;b. na lyžiach2.pohyb telesa: b. hviezd;b. vagónov3. práca, fungovanie istého mechanizmu, chod: b. stroja, b. závodu, uviesť motor do b-u;vec je v b-u vybavuje sa4. priebeh, postup, vývoj: b. života, času, sveta, vecí;b. myšlienok5.noha zveri: predné, zadné b-y"	
behúň	+	-	2	ň	eú	ú		"1.pohyblivá súčasť (prí)stroja2. dlhý úzky pokrovec"	
beletrista	-	+	4		eeia	a		NOT FOUND	
bezbožník	+	-	3	k	eoí	í	ník	NOT FOUND	
bezdomovec	+	-	4	c	eooe	e	ec	NOT FOUND	
bežec	+	-	2	c	ee	e	ec	NOT FOUND	
bibliotekár	+	-	5	r	iioeá	á		"-aknihovník;"	
biograf	+	-	3	f	ioa	a		NOT FOUND	
biskup	+	-	2	p	iu	u		"-avedúci cirk. hodnostár;kto prijal plnosť posvätnej vysviacky a obyč. spravuje diecézu;prvý duchovný pastier a vedúci náboženského života: generálny b., dištriktuálny b.;"	
biskvit	-	+	2	t	ii	i		NOT FOUND	
bitkár	+	-	2	r	iá	á		"-akto sa rád bije;"	
bít	-	+	1	t	í	í		NOT FOUND	
bitúmen	-	+	3	n	iúe	e		NOT FOUND	
bit	-	+	1	t	i	i		"-u 1. dvojková číslica (0, 1)2. v počítačovej pamäti miesto na jednu číslicu v dvojkovej sústave3. jednotka na meranie množstva informácie"	
bitúnok	+	+	3	k	iúo	o	ok	"-nka/-nkumiesto, kde sa zabíja dobytok"	
biznis	-	+	2	s	ii	i		NOT FOUND	
bľabot	-	+	2	t	ao	o	ot	"-ubľabotanie"	
blafák	+	-	2	k	aá	á	ák	NOT FOUND	
blahobyt	-	+	3	t	aoy	y		"-udostatok životných potrieb, bohatstvo, hojnosť: hmotný a kultúrny b. obyvateľstva;rast b-u;žiť v b-e;"	
bľakot	-	+	2	t	ao	o	ot	"-ubľačanie: b. oviec"	
blankyt	-	+	2	t	ay	y		"-ubelasá farba jasného neba, azúr;"	
blázon	+	-	2	n	áo	o		"-zna 1. duševne chorý, pomätený človek: tichý b. neškodný;nadávať niekomu do b-ov2.dvorný b. šašo3.nerozumný, nerozvážny človek; pochábeľ: nebuď b.! nerob hlúposti!●smiať sa ako b. bez príčiny;robiť si b-a z niekoho, mať niekoho za b-a robiť si žarty, uťahovať si;robiť zo seba b-a robiť sa hlúpym; som z toho b. nechápem to;byť do niečoho celý b. byť niečím celkom zaujatý;byť do niekoho, za niekým b. byť veľmi zamilovaný;bol by b., keby/aby ... nerobil by rozumne;"	
bloček	+	+	2	k	oe	e		NOT FOUND	
blok	-	+	1	k	o	o		"-u 1. zoskupenie rovnakých al. podobných predmetov: b. domov;zložiť tehly do b-ov2. zoskupenie ľudí, spoloč. skupín, štátov s podobnými cieľmi: b. ľavicových strán;vojenské b-y3. veľký (jednoliaty) kus hmoty: oceľový b.; štartovací b. podstavec na štartovanie4. zväzok listov papiera: poznámkový b.5.tematický celok: poludňajší b. spravodajstva;diskusia obsahovala dva tematické b-y;"	
blondiačik	+	-	4	k	oiai	i	ik	"-a"	
blondiak	+	-	3	k	oia	a		"-a-ciblondín;"	
blondín	+	-	2	n	oí	í	ín	"[-d-] -aplavovlasý človek;"	
bludár	+	-	2	r	uá	á		"-a 1. tulák: b. bez domova2. kto učí bludy; zástanca bludov, heretik;"	
blud	-	+	1	d	u	u		"-umylný názor, omyl; heréza: hlásať, šíriť b-y;zriecť sa b-ov"	абстрактное понятие
blúznivec	+	-	3	c	úie	e	ec	"-vcarojko, fantasta"	
bodáčik	+	-	3	k	oái	i	ik	NOT FOUND	
bodák	+	-	2	k	oá	á	ák	"-akrátka bodná zbraň nasadzovaná na pušku"	
bodec	+	-	2	c	oe	e	ec	"-dca(okutý) hrot: b. kopije, kovový b.;pichnúť b-om"	
boháč	+	-	2	č	oá	á	č	"-abohatý človek: dedinský b.;"	
bohatier	+	-	4	r	oaie	e		"-ahrdina: národní b-i;"	
bohém	+	-	2	m	oé	é		"-ačlovek (obyč. umelec) zámerne porušujúci spoloč. konvencie;"	
bohemista	-	+	4		oeia	a		"-uodborník v bohemistike;"	
bohemizmus	-	+	4	s	oeiu	u		"-mučes. jazykový prvok v inom jazyku"	абстрактное понятие
bohoslovec	+	-	4	c	oooe	e	ec	NOT FOUND	
boj	+	-	1	j	o	o		"-a 1. voj. ozbrojené stretnutie, bitka: ťažký, tuhý, víťazný b.;stretnúť sa, padnúť v b-i (za vlasť);zviesť b. na život a na smrť2. veľké úsilie o dosiahnutie istého cieľa, zápas: triedny, politický b.;b. o život, b. za slobodu, za mier;b. s prírodou, b. proti chorobám; b. protikladov;športový b.; b. o zrno žatva;"	абстрактное понятие
bojar	+	-	2	r	oa	a		"-avys. šľachtic v cárskom Rusku"	
bojazlivec	+	-	4	c	oaie	e	ec	"-vcabojazlivý človek"	
bojko	+	-	2		oo	o	ko	"-a-ovia bojazlivec"	
bojkot	-	+	2	t	oo	o	ot	"-uforma hosp. al. polit. boja prejavujúca sa najmä v odmietaní obch. stykov, spolupráce ap.: vyhlásiť b."	абстрактное понятие
bojovník	+	-	3	k	ooí	í	ovník	"-a-cikto bojuje : frontový b.;b. za práva ľudu;→ hrob Neznámeho b-a;"	
bolehlav	-	+	3	v	oea	a		"-ujedovatá bylina s vysokou červenkastou byľou a bielymi korunami kvetov,"	
boleráz	-	+	3	z	oeá	á		"-ukrušpán"	
boľševik	+	-	3	k	oei	i	ik	"-a-ci 1. stúpenec boľševizmu2.komunista;"	
boľševizmus	-	+	4	s	oeiu	u		"-mu 1. leninské ľavé krídlo v rus. sociálnej demokracii2.teória a prax sov. komunistov po r. 19173.komunizmus"	абстрактное понятие
bôľ	-	+	1	ľ	ô	ô		"-uteles. al. duš. bolesť: tupý b.;plakať od b-u"	абстрактное понятие
bonbónik	+	-	3	k	oói	i	ik	"-a"	
bonbón	-	+	2	n	oó	ó		"[-mb-] -uplnený (čokoládový) cukrík: likérové b-y;"	
borec	+	-	2	c	oe	e	ec	"-rcašportovec, pretekár: húževnatý b."	
bosorák	+	-	3	k	ooá	á	ák	"-a-cičarodejník, strigôň;"	
bôžik	+	-	2	k	ôi	i	ik	"-a-ovia 1. pohanský boh: domáci b-ia;b. lásky amor2. jeho soška, modla: b. zo slonoviny"	
bozk	-	+	1	zk	o	o		"-udotyk perami ako prejav lásky, priateľstva ap.: materinský, manželský, horúci b.;poslať niekomu b. naznačiť rukou pobozkanie□ dať, vtisnúť niekomu b. (na ústa, na čelo) bozkať;"	
božtek	+	-	2	k	oe	e		NOT FOUND	
brak	-	+	1	k	a	a		"-unehodnotné veci, chybný tovar: predávať b.;literárny, umelecký b.;"	абстрактное понятие
branec	+	-	2	c	ae	e	ec	"-ncamuž vo veku, keď podlieha povinnosti odvodu"	
brankár	+	-	2	r	aá	á		"-ahráč hrajúci v brán(k)e;"	
brašnár	+	-	2	r	aá	á		"-akto pracuje v brašnárstve"	
brat	+	-	1	t	a	a		"-a-ia 1. súrodenec muž. pohlavia: (ne)vlastný b., starší b.2. označenie al. oslovenie muž. člena niekt. organizácií, ev. cirkvi, rehôľ: rehoľný b. fráter3. príslušník toho istého al. príbuzného národa: naši slovanskí b-ia4. zdravotný b. stredný zdravotnícky pracovník; ošetrovateľ● medzi (nami) b-mi v priateľskom prostredí;"	
bratanček	+	-	3	k	aae	e		NOT FOUND	
bratanec	+	-	3	c	aae	e	ec	NOT FOUND	
bratovrah	+	-	3	h	aoa	a		NOT FOUND	
brloh	+	+	1	h	o	o		"-a/-u 1. chránené ležovisko, skrýša zvierat, pelech: medvedí, líščí b.;2.biedne obydlie: pivničné b-y3.úkryt spoločensky vyradených živlov, pelech: zlodejský, hráčsky b.;ópiové b-y"	
brokát	-	+	2	t	oá	á		"-uťažká hodvábna látka pretkávaná zlatými al. striebornými niťami; jej napodobnenina z bavlny;"	
brok	-	+	1	k	o	o		"-udrobný guľatý náboj"	
brucháč	+	-	2	č	uá	á	č	"-abruchatý človek, brucháň"	
brucháčik	+	-	3	k	uái	i	ik	NOT FOUND	
bruchopasník	+	-	4	k	uoaí	í	ník	NOT FOUND	
bruchovravec	+	-	4	c	uoae	e	ec	"-vcakto vie hovoriť bez pohybov úst"	
brunet	+	-	2	t	ue	e		"-atmavovlasý človek;"	
brús	+	-	1	s	ú	ú		"-anástroj na brúsenie;"	
brusič	+	-	2	č	ui	i	č	"-akto odborne brúsi: b. nožov, skla, diamantov;"	
brúsik	+	-	2	k	úi	i	ik	"-a"	
bubon	+	-	2	n	uo	o		"-bna-e 1. valec obopnutý na obidvoch koncoch blanou použ. ako bicí nástroj: biť, udierať na b.;hrať na b-e2. prístroj al. súčasť stroja podobná bubnu: b. automatickej práčky;rotačný b.● ísť, chodiť s b-om na zajace predčasne prezrádzať niečo;"	артефакт
buchnát	+	-	2	t	uá	á		"-aúder päsťou do chrbta: dostať b., dať niekomu b."	
buchot	-	+	2	t	uo	o	ot	"-ubúchanie, buchotanie, hrmot: b. kladív;dvere sa zatvorili s b-om□ robiť b. buchotať"	
budhista	-	+	3		uia	a		"-ustúpenec budhizmu;"	
budhizmus	-	+	3	s	uiu	u		"-muBudhovo náb. učenie;"	абстрактное понятие
budič	+	-	2	č	ui	i	č	NOT FOUND	
budíček	+	-	3	k	uíe	e	íček	"-čka 1.budík2. budík3. zvukový signál na vstávanie: b. je o šiestej, zaznel b."	
budík	+	-	2	k	uí	í	ík	"-aprenosné hodiny s nastaviteľným zvukovým signálom, budíček: nastaviť, natiahnuť b.;b. cengá, zvoní;"	артефакт
buditeľ	+	-	3	ľ	uie	e		"-a-iapredstaviteľ národného obrodenia: slovenskí b-ia;"	
