word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
абсорбент	+	-	3	нт	аое	е		"[ лат. absorbens (absorbentis) поглощающий] — поглощающеевещество (см. абсорбция)."	вещество
абсорбер	+	-	3	р	аое	е		"— основной аппарат установки, в которой осуществляют абсорбцию 1."	артефакт
абсорбциометр	+	-	5	тр	аоиое	е		NOT FOUND	
абстракт	+	-	2	кт	аа	а		NOT FOUND	
абстракционизм	+	-	5	зм	ааиои	и	изм	"направление, последователи которого изображают реальный мир как сочетание отвлеченных форм или цветовых пятен"	
абсурд	+	-	2	рд	ау	у		"нелепость, бесмыслица"	
абсурдизм	+	-	3	зм	ауи	и	изм	NOT FOUND	
абсцесс	+	-	2	сс	ае	е		"нарыв, гнойник, скопление гноя в органах или тканях в результате воспалительного процесса"	
абцуг	+	-	2	г	ау	у		"[нем. abzug] — шлак, получаемый при выделении из веркблея золота,серебра и олова."	
абштрих	+	-	2	х	аи	и		"[нем. abstrich] — шлак, получаемый при очистке свинца от мышьяка исурьмы."	
авал	+	-	2	л	аа	а		NOT FOUND	
аваль	+	-	2	ль	аа	а		"[фр. aval] — поручительство по векселю, сделанное третьим лицом в видеособой гарантийной записи."	
авангард	+	-	3	рд	ааа	а		"передовая, ведущая часть какой-нибудь общественной группы, класса; часть войск (или флота), находящаяся впереди главных сил"	
авангардизм	+	-	4	зм	аааи	и	изм	"разных течений в искусстве 20 века, порывающих с реализмом и ищущих новые формы художественного выражения; стремление какой-нибудь общественной группы к главенствующей роли в чем-нибудь"	
аванзал	+	-	3	л	ааа	а		"помещение перед главным залом в общественных зданиях"	
аванпорт	+	-	3	рт	аао	о		"защищенная от волн внешняя часть порта"	
аванпост	+	-	3	ст	аао	о		"передовой сторожевой пост; место расположения такого поста"	место
аванс	+	-	2	нс	аа	а		"деньги (или другие ценности), выдаваемые вперед в счет заработка, причитаю щихся кому-нибудь платежей"	
авантаж	+	-	3	ж	ааа	а		"[фр. avantage] —уст. выгода, польза; благоприятное положение."	абстрактное понятие
авантюризм	+	-	4	зм	ааюи	и	изм	"склонность к авантюрам"	
авантюрин	+	-	4	н	ааюи	и	ин	"[фр. aventurine] — 1) минерал, разновидность кварца, желтоватого,буровато-красного и реже зеленого цвета, пронизанная блестками мельчайшихвключений слюды или железистой слюдки — гематита; используется как поделочныйкамень; 2) авантюриновое стекло — коричневое стекло с включениями листочковметаллической меди, придающей сплаву яркий золотистый блеск; употр. дляразличных украшений."	
аватар	+	-	3	р	ааа	а		NOT FOUND	
авгит	+	-	2	т	аи	и		"[ гр. auge блеск] — минерал, мета-силикат из группы пироксенов,породообразующий минерал изверженных горных пород, преимущ. основного состава —андезита, базальта, диабаза."	
август	+	-	2	ст	ау	у		"восьмой месяц календарного года"	месяц
аверс	+	-	2	рс	ае	е		"[фр. avers лат. adversus обращенный лицом] — лицевая сторонамонеты, медали (ср. реверс 1)."	
авиаагрегат	+	-	6	т	аиааеа	а		NOT FOUND	
авиабензин	+	-	5	н	аиаеи	и	ин	NOT FOUND	
авиабилет	+	-	5	т	аиаие	е		NOT FOUND	
авиагоризонт	+	-	6	нт	аиаоио	о		"[см. авиа...] — гироскопический (см. гироскоп) прибор,предназначенный для определения положения продольной и поперечной осей самолетав пространстве относительно горизонта."	артефакт
авиагруз	+	-	4	з	аиау	у		NOT FOUND	
авиадвигатель	+	-	6	ль	аиаиае	е	тель	NOT FOUND	
авиадесант	+	-	5	нт	аиаеа	а		NOT FOUND	
авиазавод	+	-	5	д	аиаао	о		NOT FOUND	
авиакеросин	+	-	6	н	аиаеои	и	ин	NOT FOUND	
авиакомпас	+	-	5	с	аиаоа	а		NOT FOUND	
авиалайнер	+	-	5	р	аиаае	е		NOT FOUND	
авиамаршрут	+	-	5	т	аиаау	у		NOT FOUND	
авиамоделизм	+	-	6	зм	аиаоеи	и	изм	"постройка и запуск моделей летательных аппаратов"	
авиамотор	+	-	5	р	аиаоо	о		NOT FOUND	
авианосец	+	-	5	ц	аиаое	е	ец	"военный корабль, оборудованный как подвижной морской аэродром"	
авиаопрыскиватель	+	-	8	ль	аиаоыиае	е	тель	NOT FOUND	
авиаопыливатель	+	-	8	ль	аиаоыиае	е	тель	NOT FOUND	
авиаотряд	+	-	5	д	аиаоя	я		NOT FOUND	
авиаперевозчик	+	-	7	к	аиаееои	и	чик	NOT FOUND	
авиаперсонал	+	-	6	л	аиаеоа	а		NOT FOUND	
авиапневматик	+	-	6	к	аиаеаи	и	ик	NOT FOUND	
авиаполк	+	-	4	лк	аиао	о		NOT FOUND	
авиапорт	+	-	4	рт	аиао	о		NOT FOUND	
авиаприбор	+	-	5	р	аиаио	о		NOT FOUND	
авиапулемет	+	-	6	т	аиауее	е		NOT FOUND	
авиарейс	+	-	4	йс	аиае	е		NOT FOUND	
авиасалон	+	-	5	н	аиаао	о		"-а, м. Выставка новейших образцов самолетов, авиационной техники."	
авиасев	+	-	4	в	аиае	е	в	NOT FOUND	
авиаспорт	+	-	4	рт	аиао	о		NOT FOUND	
авиатест	+	-	4	ст	аиае	е		NOT FOUND	
авиатехникум	+	-	6	м	аиаеиу	у		NOT FOUND	
авиатранспорт	+	-	5	рт	аиаао	о		"[см. авиа... + транс порт] — 1) воздушный транспорт-"	
авиаузел	+	-	5	л	аиауе	е		NOT FOUND	
авиафонд	+	-	4	нд	аиао	о		NOT FOUND	
авиаэкспорт	+	-	5	рт	аиаэо	о		NOT FOUND	
авитаминоз	+	-	5	з	аиаио	о		"заболевание, вызываемое резким недостатком витаминов в организме"	
авлос	+	-	2	с	ао	о		"[гр. aulos] — древний духовой муз. инструмент, напоминающий свирель сраздвоенной тростью; был распространен в передней азии и др. греции."	артефакт
авост	+	-	2	ст	ао	о		NOT FOUND	
аврал	+	-	2	л	аа	а		"спешная (по специальному заданию или по тревоге) работа на судне всей командой; выполняемая всем коллективом спешная работа"	
авран	+	-	2	н	аа	а	ан	NOT FOUND	
австрализм	+	-	3	зм	ааи	и	изм	NOT FOUND	
автоагрегат	+	-	5	т	аоаеа	а		NOT FOUND	
автоаларм	+	-	4	рм	аоаа	а		NOT FOUND	
автобан	+	-	3	н	аоа	а	ан	NOT FOUND	
автобатальон	+	-	5	н	аоаао	о		NOT FOUND	
автобензин	+	-	4	н	аоеи	и	ин	NOT FOUND	
автобетоновоз	+	-	6	з	аоеооо	о		NOT FOUND	
автобетоносмеситель	+	-	8	ль	аоеооеие	е	итель	NOT FOUND	
автобиографизм	+	-	6	зм	аоиоаи	и	изм	NOT FOUND	
автобус	+	-	3	с	аоу	у		"многоместный автомобиль для перевозки пассажиров"	
автовагон	+	-	4	н	аоао	о		NOT FOUND	
автовоз	+	-	3	з	аоо	о		NOT FOUND	
автовокзал	+	-	4	л	аооа	а		"большая станция пригородного или междугородного автобусного сообщения"	
автогараж	+	-	4	ж	аоаа	а		NOT FOUND	
автоген	+	-	3	н	аое	е		"автогенная сварка, резка"	
автогенез	+	-	4	з	аоее	е	ез	"[см. авто...+ ...генез] —общее название идеалистических концепций,которые рассматривают эволюцию живой природы как процесс, независимый отвнешних условий, направляемый и регулируемый некими внутренними нематериальнымифакторами; по своей сущности а. смыкается с витализмом; примеры автогенеза— аристогенез,психоламаркизм (противоп. эктогенез)."	
автогенератор	+	-	6	р	аоееао	о		NOT FOUND	
автогипноз	+	-	4	з	аоио	о		NOT FOUND	
автограф	+	-	3	ф	аоа	а		"подлинная рукопись автора; собственноручная, обычно памятная, надпись или подпись"	
автогрейд	+	-	3	йд	аое	е		NOT FOUND	
автогрейдер	+	-	4	р	аоее	е		NOT FOUND	
автогудронатор	+	-	6	р	аоуоао	о		NOT FOUND	
автодин	+	-	3	н	аои	и	ин	"[авто... + гр. dynamis сила, способность) — 1) радиоприемник сположительной обратной связью для приема на слух телеграфных сигналов по методубиений; 2) управляемый одноякорный электромашинный преобразователь мощностипеременного тока в мощность постоянного тока и наоборот."	
автодиспетчер	+	-	5	р	аоиее	е		NOT FOUND	
автодром	+	-	3	м	аоо	о		"[авто... + гр. dromos место для бега, бег] — территория,оборудованная для проведения скоростных соревнований и испытаний автомобилейили автомобилей и мотоциклов (а в -т о м о т о д р о м); см. также мотодром."	
автожижеразбрасыватель	+	-	9	ль	аоиеааыае	е	тель	NOT FOUND	
автожир	+	-	3	р	аои	и		"[фр. autogyrerp. autos сам + gyros круг] — винтокрылыйлетательный аппарат тяжелее воздуха, у которого несущий винт вращается отнабегающего потока воздуха, а поступательное движение создается тянущим винтом(как у самолета) при помощи авиационного двигателя; предшественник вертолета."	артефакт
автозавод	+	-	4	д	аоао	о		"автомобильный завод"	
автозаправщик	+	-	5	к	аоааи	и	щик	NOT FOUND	
автокар	+	-	3	р	аоа	а		"самодвижущаяся тележка с двигателем внутреннего сгорания для безрельсовой перевозки грузов"	
автокартограф	+	-	5	ф	аоаоа	а		NOT FOUND	
автокатализ	+	-	5	з	аоааи	и		"[см. авто... + катализ] — аутокатал из — ускорение хим. реакцииодним из ее продуктов, играющим роль катализатора."	
автокатафалк	+	-	5	лк	аоааа	а		NOT FOUND	
автоклав	+	-	3	в	аоа	а	в	"аппарат для нагревания под давлением выше атмосферного при высокой температуре"	артефакт
автоклуб	+	-	3	б	аоу	у		NOT FOUND	
автокод	+	-	3	д	аоо	о		"[см. авто... + код] — язык программирования; наиболее распространена. типа 1:1, каждый символ которого при переводе на машинный язык преобразуетсяв одну команду цифровой вычислительной машины."	
автоколлиматор	+	-	6	р	аооиао	о		"[см. авто...] — оптический прибор для точных угловыхизмерений, контроля прямолинейности и плоскостности; одним из элементов прибораявляется коллиматор."	артефакт
автокомбинат	+	-	5	т	аооиа	а		NOT FOUND	
автокомпенсатор	+	-	6	р	аооеао	о		NOT FOUND	
автокомпрессор	+	-	5	р	аооео	о		NOT FOUND	
автоконтакт	+	-	4	кт	аооа	а		NOT FOUND	
автокоррелятор	+	-	6	р	аооеяо	о		NOT FOUND	
автокран	+	-	3	н	аоа	а	ан	NOT FOUND	
автократизм	+	-	4	зм	аоаи	и	изм	NOT FOUND	
автокросс	+	-	3	сс	аоо	о		NOT FOUND	
автокружок	+	-	4	к	аоуо	о	ок	NOT FOUND	
автол	+	-	2	л	ао	о		"смазочное масло для карбюраторных двигателей"	
автолесовоз	+	-	5	з	аоеоо	о		NOT FOUND	
автолиз	+	-	3	з	аои	и		"[см. авто... + ...лиэ] — саморастворение, распад тканей животногоили растительного организма под влиянием ферментов, содержащихся в этих жетканях."	
автолист	+	-	3	ст	аои	и	ист	NOT FOUND	
автомагазин	+	-	5	н	аоааи	и	ин	NOT FOUND	
автомарафон	+	-	5	н	аоаао	о		NOT FOUND	
автомат	+	-	3	т	аоа	а		"аппарат (машина, прибор, устройство), после включения самостоятельно выполняющий ряд заданных операций; индивидуальное автоматическое стрелковое оружие с надевающимся штыком-ножом"	артефакт
автоматизм	+	-	4	зм	аоаи	и	изм	"механичность, непроизвольность действий, движений"	
автомашинист	+	-	5	ст	аоаии	и	ист	NOT FOUND	
автомобилеопрокидыватель	+	-	11	ль	аооиеооиыае	е	тель	NOT FOUND	
автомобилеразгрузчик	+	-	8	к	аооиеауи	и	чик	NOT FOUND	
автомобилизм	+	-	5	зм	аооии	и	изм	"автомобильное дело, автомобильный спорт"	
автомобиль	+	-	4	ль	аоои	и		"транспортное средство на колесном (реже полугусеничном или другом) ходу с собственным двигателем для перевозок по безрельсовым путям"	
автомобильчик	+	-	5	к	аооии	и	чик	NOT FOUND	
автомонитор	+	-	5	р	аооио	о		NOT FOUND	
автомоносексуализм	+	-	8	зм	аоооеуаи	и	изм	NOT FOUND	
автоморфизм	+	-	4	зм	аоои	и	изм	"— см. изоморфизм 2."	
автомотоклуб	+	-	5	б	аоооу	у		"|см. авто... + мота...] — организация (клуб 1), объединяющаялиц, занимающихся автомобильным или мотоциклетным спортом."	
автомотоспорт	+	-	5	рт	аоооо	о		NOT FOUND	
автомототранспорт	+	-	6	рт	аоооао	о		NOT FOUND	
автоним	+	-	3	м	аои	и		"[авто... + гр. опоша, onyma имя] — подлинное имя автора, пишущегопод псевдонимом."	
автооператор	+	-	6	р	аооеао	о		"[см. авто... + оператор] — 1) в металлообработке — механизм дляавтоматической установки заготовки на станке и удаления обработанного изделия;2) в гидроэнергетике — система автоматических устройств, обеспечивающих пускили остановку агрегатов гидроэлектростанции для поддержания наиболееэкономичного режима их работы (при изменении напора воды или внешней нагрузки)."	
автоответ	+	-	4	т	аоое	е		NOT FOUND	
автоответчик	+	-	5	к	аооеи	и	чик	NOT FOUND	
автоотряд	+	-	4	д	аооя	я		NOT FOUND	
автопавильон	+	-	5	н	аоаио	о		NOT FOUND	
автопансионат	+	-	6	т	аоаиоа	а		NOT FOUND	
автопарк	+	-	3	рк	аоа	а		NOT FOUND	
автопереход	+	-	5	д	аоеео	о		NOT FOUND	
автопилот	+	-	4	т	аоио	о	от	"устройство для автоматического управления летательным аппаратом"	артефакт
автоплуг	+	-	3	г	аоу	у		NOT FOUND	
автоповтор	+	-	4	р	аооо	о		NOT FOUND	
автопогрузчик	+	-	5	к	аооуи	и	чик	"самосдвижущаяся машина для погрузки, разгрузки и перевозки грузов на небольшие расстояния (на станциях, складах, в цехах)"	
автоподъёмник	+	-	5	к	аооёи	и	ник	NOT FOUND	
автопоезд	+	-	4	зд	аоое	е		NOT FOUND	
автополимер	+	-	5	р	аооие	е		NOT FOUND	
автопортрет	+	-	4	т	аоое	е		"портрет, написанный с самого себя"	
автоприцеп	+	-	4	п	аоие	е		NOT FOUND	
автопробег	+	-	4	г	аоое	е		NOT FOUND	
автопровод	+	-	4	д	аооо	о		NOT FOUND	
автопроизводитель	+	-	7	ль	аооиоие	е	итель	NOT FOUND	
автопрокладчик	+	-	5	к	аооаи	и	чик	NOT FOUND	
авторегулятор	+	-	6	р	аоеуяо	о		NOT FOUND	
авторемонт	+	-	4	нт	аоео	о		NOT FOUND	
автореферат	+	-	5	т	аоееа	а		"реферат, краткое изложение какого-нибудь исследования, написанное самим автором"	
авторефрижератор	+	-	7	р	аоеиеао	о		NOT FOUND	
авторитаризм	+	-	5	зм	аоиаи	и	изм	"государственный строй, основанный на неограниченной личной власти, самовластие"	
авторитет	+	-	4	т	аоие	е		"общепризнанное значение, влияние, общее уважение; лицо пользующееся влиянием, признанием"	
авторулевой	-	-	5	й	аоуео	о		NOT FOUND	
автосалон	+	-	4	н	аоао	о		"-а, м. Выставка новейших образцов автомобилей, автомобильной техники."	
автосамосвал	+	-	5	л	аоаоа	а		NOT FOUND	
автосвет	+	-	3	т	аое	е		NOT FOUND	
автосин	+	-	3	н	аои	и	ин	NOT FOUND	
автоспорт	+	-	3	рт	аоо	о		NOT FOUND	
автоспуск	+	-	3	ск	аоу	у		NOT FOUND	
автостоп	+	-	3	п	аоо	о		"устройство для автоматической остановки поезда; документ, дающий туристу право на остановку попутных автомашин; туристическое путешествие с таким документом"	артефакт
автотаймер	+	-	4	р	аоае	е		NOT FOUND	
автотип	+	-	3	п	аои	и		NOT FOUND	
автотопливозаправщик	+	-	8	к	аооиоааи	и	щик	NOT FOUND	
автотормоз	+	-	4	з	аооо	о		NOT FOUND	
автотранспорт	+	-	4	рт	аоао	о		"автомобильный транспорт"	
автотрансформатор	+	-	6	р	аоаоао	о		"[см. авто...] — электрический трансформатор, у которогообмоткой низшего напряжения служит часть обмотки высшего напряжения (обмоткисоединены друг с другом гальванически); примен. в пусковых устройствах, мощныхэлектродвигателях переменного тока, для плавного регулирования напряжения припользовании бытовыми приборами, телевизорами, приемниками и т.п."	
автотуризм	+	-	4	зм	аоуи	и	изм	"[см. авто... + туризм] — туристские путешествия на автомобилях."	
автоукладчик	+	-	5	к	аоуаи	и	чик	NOT FOUND	
автофильтр	+	-	3	льтр	аои	и		NOT FOUND	
автофургон	+	-	4	н	аоуо	о		NOT FOUND	
автохром	+	-	3	м	аоо	о		NOT FOUND	
автохтон	+	-	3	н	аоо	о		"[гр. autos сам + chthon земля] — 1) первоначальное, исконноенаселение страны; 2) биол. иначе аборигены — растительные и животные организмы,образовавшиеся в процессе эволюции в данной местности или исстари в нейобитавшие и живущие в настоящее время (ср. аллохтоны i)."	
автоцементовоз	+	-	6	з	аоееоо	о		NOT FOUND	
автоцентр	+	-	3	нтр	аое	е		NOT FOUND	
автоцех	+	-	3	х	аое	е		NOT FOUND	
автоштурман	+	-	4	н	аоуа	а	ан	NOT FOUND	
агал	+	-	2	л	аа	а		NOT FOUND	
агалит	+	-	3	т	ааи	и	ит	NOT FOUND	
агальматолит	+	-	5	т	аааои	и		"[гр. agalma(agalmatos) украшение, статуя + lithos камень] —минерал, плотная разновидность пирофиллита, серо-зеленого, светло-зеленого,буро-розового и других цветов; используется как поделочный камень."	
агамогенез	+	-	5	з	ааоее	е		NOT FOUND	
агар	+	+	2	р	аа	а		"или желтоватый твердый продукт, получаемый изнекоторых морских водорослей; представляет собой смесь полисахаридов; хорошорастворяется в горячей воде, образуя гели (студни); примен. в кондитерскойпромышленности при изготовлении мармелада, а также в составе питательных среддля выращивания бактерий."	
агароид	+	-	4	д	ааои	и	оид	NOT FOUND	
агат	+	-	2	т	аа	а		"твердый слоистый минерал, разновидность халцедона, употребляемый для украшений, мелких изделий и в технике"	
агатик	+	-	3	к	ааи	и	ик	NOT FOUND	
агафит	+	-	3	т	ааи	и		NOT FOUND	
агглютинин	+	-	4	н	аюии	и	ин	"— специфические вещества (антитела), образующиеся в организмечеловека и животных под влиянием чужеродных организму веществ (антигенов) иобусловливающие агглютинацию 2."	
агенез	+	-	3	з	аее	е		NOT FOUND	
агенс	+	-	2	нс	ае	е		NOT FOUND	
агент	+	-	2	нт	ае	е		"лицо, уполномоченное учреждением, предприятием для выполнения служебных, деловых поручений; человек, который действует в чьих-нибудь интересах, служит чьим-нибудь интересам; == шпион"	
агитпоезд	+	-	4	зд	аиое	е		NOT FOUND	
агитпроп	+	-	3	п	аио	о		NOT FOUND	
агитпункт	+	-	3	нкт	аиу	у		"агитационный пункт - местное учреждение для политической работы среди населения во время выборов"	
агломерат	+	-	4	т	аоеа	а		NOT FOUND	
агломератовоз	+	-	6	з	аоеаоо	о		NOT FOUND	
агломератопенобетон	+	-	9	н	аоеаоеоео	о		NOT FOUND	
агностицизм	+	-	4	зм	аоии	и	изм	"идеалистическое философское учение, отрицающее возможность познания объективного мира и его закономерностей"	
агон	+	-	2	н	ао	о		NOT FOUND	
аграмант	+	-	3	нт	ааа	а		"[фр. agrements украшения] — уст. плетение из шнура, служащеедля отделки платья, занавесей, мягкой мебели и т. д."	
аграмматизм	+	-	4	зм	аааи	и	изм	NOT FOUND	
аграф	+	-	2	ф	аа	а		"[фр, agrafe] — нарядная пряжка или застежка."	
агрегат	+	-	3	т	аеа	а		"часть какой-нибудь машины, узел 1 N3 для выполнения определенных операций; соединение для общей работы двух или нескольких разнотипных машин"	
агреман	+	-	3	н	аеа	а	ан	"[фр. agrement agreer одобрять]— предварительное согласие однойстраны на назначение определенного лица в качестве дипломатическогопредставителя другой страны."	
агробизнес	+	-	4	с	аоие	е		NOT FOUND	
агробиоценоз	+	-	6	з	аоиоео	о		NOT FOUND	
агроинжиниринг	+	-	6	нг	аоииии	и		NOT FOUND	
агрокомбинат	+	-	5	т	аооиа	а		NOT FOUND	
агрокомплекс	+	-	4	кс	аоое	е		NOT FOUND	
агролизинг	+	-	4	нг	аоии	и		NOT FOUND	
агролицей	+	-	4	й	аоие	е		NOT FOUND	
агромаркетинг	+	-	5	нг	аоаеи	и		NOT FOUND	
агрометр	+	-	3	тр	аое	е		NOT FOUND	
агроминимум	+	-	5	м	аоииу	у		NOT FOUND	
агроприем	+	-	4	м	аоие	е		NOT FOUND	
агропункт	+	-	3	нкт	аоу	у		NOT FOUND	
агросервис	+	-	4	с	аоеи	и		NOT FOUND	
агрохимикат	+	-	5	т	аоииа	а		NOT FOUND	
агроценоз	+	-	4	з	аоео	о		NOT FOUND	
ад	+	-	1	д	а	а		"место, где души грешников после смерти предаются вечным мукам; невыносимые условия, тяжелое состояние, хаос и ужас, царящие где-нибудь"	место
адалин	+	-	3	н	ааи	и	ин	"— искусственный нейрон, облада: щий приспосабливаемостью к изменениюуел вий функционирования; используется при moi лировании биологических нейронови изучен! процессов, протекающих в них."	
адамант	+	-	3	нт	ааа	а		NOT FOUND	
адамсит	+	-	3	т	ааи	и		"[соб.] —отравляющее вещество, действующее на слизистую оболочкуносоглотки."	вещество
адаптер	+	-	3	р	аае	е		"[лат. adaptare приспособлять]— 1) звукосниматель — электромеханический прибор, преобразующий механическиеколебания иглы (при проигрывании грампластинки) в электрические колебаниязвуковой частоты; 2) добавочная кассета к фотоаппарату для использования нестандартныхсветочувствительных материалов."	артефакт
адаптогенез	+	-	5	з	ааоее	е		NOT FOUND	
адаптометр	+	-	4	тр	ааое	е		NOT FOUND	
адат	+	-	2	т	аа	а	ат	"[ар.] — неписаный закон, обычай у народов, исповедующих ислам, а.рассматривается как дополнение к шариату."	
аддендум	+	-	3	м	аеу	у		"[ лат. addere добавлять, прибавлять] — мор. дополнение кдоговору, в частности к чартеру, выработанное сторонами, подписавшими договор."	
аддуктор	+	-	3	р	ауо	о		"[лат. adducere приводить] — анат. приводящая мышца (ср.абдуктор; см. аддукция)."	
адекват	+	-	3	т	аеа	а		NOT FOUND	
адельфан	+	-	3	н	аеа	а	ан	NOT FOUND	
аденин	+	-	3	н	аеи	и	ин	NOT FOUND	
аденит	+	-	3	т	аеи	и		"[ гр. aden железа] — то же, что лимфаденит."	
аденовирус	+	-	5	с	аеоиу	у		"[гр. aden железа] — группа вирусов, вызывающих рядзаболеваний человека: острый катар дыхательных путей, конъюнктивиты,энтероколиты, нек-рые виды воспаления легких; первонач. были выделены изаденоидов (отсюда название); известны также а. обезьян, рогатого скота, мышей вптиц."	
аденогипофиз	+	-	6	з	аеоиои	и		NOT FOUND	
аденозинтрифосфат	+	-	7	т	аеоииоа	а		NOT FOUND	
аденоид	+	-	4	д	аеои	и		"[гр. aden железа + eidos вид] — опухолевидные разрастаниялимфатического образования носоглотки — носоглоточной миндалины."	
адермин	+	-	3	н	аеи	и	ин	"[гр.] — устарелое название витамина вв, или пиридоксина."	
адиантум	+	-	4	м	аиау	у		NOT FOUND	
адонизид	+	-	4	д	аоии	и		NOT FOUND	
адонилен	+	-	4	н	аоие	е		NOT FOUND	
адонис	+	-	3	с	аои	и		"«соб. гр. adonis] — род травянистых растений сем. лютиковых; один извидов — горицвет — примен. в медицине (в виде настоя) ори сердечно-сосудистыхзаболеваниях."	
адреналин	+	-	4	н	аеаи	и	ин	"[лат. ad при + renalis почечный] — гормон мозгового веществанадпочечников или искусственно полученный аналог его; повышает обмен веществ в организме,увеличивает содержание сахара в крови, повышает кровяное давление (суживаетмелкие кровеносные сосуды), учащает дыхание, сердцебиение, замедляетперистальтику кишок и т. д.; примен. как лекарственное средство прикровотечениях, бронхиальной астме, при падении кровяного давления в др."	
адрес	+	-	2	с	ае	е		"письменное приветствие в ознаменование юбилея или какого-нибудь другого события; надпись на письме, почтовом отправлении, указывающая место назначения и получателя; местонахождение, местожительство; обозначение, название местонахождения, местожительства"	место
адресок	+	-	3	к	аео	о	ок	NOT FOUND	
адресочек	+	-	4	к	аеое	е	очек	NOT FOUND	
адрон	+	-	2	н	ао	о	рон	"«гр. adros сильный] — общее название амментарных частиц (барионоа,включая все резонанса, и мезонов), подверженных сильному взаимодействию (этовзаимодействие ответственно за устойчивость атомных ядер)."	
адсорбат	+	-	3	т	аоа	а		NOT FOUND	
адсорбент	+	-	3	нт	аое	е		"— тело, на поверхности которого происходит адсорбцияраспространенные адсорбенты — активированный уголь, силикагель и др."	
адсорбер	+	-	3	р	аое	е		"— основной аппарат установки, в которой осуществляют адсорбцию."	артефакт
адстрат	+	-	2	т	аа	а		NOT FOUND	
адуляр	+	-	3	р	ауя	я		"[по месторождению в горах адула (adula) в швейцарии] — минерал,прозрачная бесцветная разновидность ортоклаза."	
адъектив	+	-	3	в	аеи	и	ив	NOT FOUND	
адюльтер	+	-	3	р	аюе	е		"[фр. adultdre] — супружеская неверность, измена."	
ажгон	+	-	2	н	ао	о		NOT FOUND	
ажиотаж	+	+	4	ж	аиоа	а		"искусственное, спекулятивное повышение или понижение курса биржевых бумаг или цен на товары с целью извлечения прибыли; искусственно вызванное возбуждение, волнение с целью привлечения к чему-нибудь"	
ажур	+	-	2	р	ау	у		"такое ведение дел, при котором каждая операция регистрируется немедленно после ее совершения"	
