word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
banket	-	+	2	t	ae	e		"1. hostina pro velký počet osob; 2. nezpevněná krajnice silnice; 3. pevný základ stavby"	
bankrot	-	+	2	t	ao	o	ot	"úpadek, krach"	
bar	-	+	1	r	a	a		"1. noční zábavní podnik; 2. skříňka s likéry; 3. zvýšený pult k podávání nápojů; 3. starší jednotka atmosférického tlaku"	
barel	-	+	2	l	ae	e	el	"americká objemová jednotka rovná 158,987 l"	
baret	-	+	2	t	ae	e		"plochá měkká kulatá čepice bez štítku"	
barometr	-	+	3	tr	aoe	e		"přístroj na měření atmosférického tlaku, tlakoměr"	артефакт
baryton	-	+	3	n	ayo	o		"střední mužský hlas"	
barák	-	+	2	k	aá	á	ák	NOT FOUND	
bas	-	+	1	s	a	a		"1. hluboký mužský hlas; 2. nejhlubší člen příslušné nástrojové skupiny"	
basketbal	-	+	3	l	aea	a		"košíková"	
batalion	-	+	4	n	aaio	o		"vojenská jednotka; velké množství lidí"	
batoh	-	+	2	h	ao	o		NOT FOUND	
bazar	-	+	2	r	aa	a		"obchod s použitým zbožím; tržiště, orientální trh; obchod se smíšeným zbožím horší jakosti"	
bazén	-	+	2	n	aé	é		"1. umělá vodní vodotěsná nádrž pro rekreační, sportovní,okrasné, požární i průmyslové účely; 2. kotviště lodí v přístavu"	
bek	-	+	1	k	e	e		"ve sportovních hrách obránce"	
benzen	-	+	2	n	ee	e		"nejjednodušší aromatický uhlovodík, bezbarvá kapalina charakteristického zápachu"	вещество
benzín	-	+	2	n	eí	í		NOT FOUND	вещество
beran	-	+	2	n	ea	a	an	NOT FOUND	
beránek	-	+	3	k	eáe	e	ek	NOT FOUND	
bestseller	-	+	3	r	eee	e		"čtenářsky i obchodně úspěšná kniha"	
beton	-	+	2	n	eo	o		"stavivo z kameniva, cementu, vody, popř. z přísad, po ztuhnutí tvrdé a stálé"	вещество
bez	-	+	1	z	e	e		NOT FOUND	
bicykl	-	+	2	kl	iy	y		"jízdní kolo"	артефакт
biftek	-	+	2	k	ie	e	ek	"přírodní řízek z hovězího masa, beefsteak"	
biograf	-	+	3	f	ioa	a		"1. kino; 2. životopisec"	
biorytmus	-	+	4	s	ioyu	u		"pravidelné střídání životních dějů"	
biskup	+	-	2	p	iu	u		"1. duchovní s nejvyšším stupněm svěcení; 2. výrůstek nad řitním otvorem drůbeže"	
bit	-	+	1	t	i	i		"1. jednotka informace; 2. binární hodnota, jeden řád binární číslice"	
bivak	-	+	2	k	ia	a		"nouzový způsob přenocování pod širým nebem"	
bič	-	-	1	č	i	i		NOT FOUND	
bičík	-	+	2	k	ií	í	ík	NOT FOUND	
blahobyt	-	+	3	t	aoy	y		NOT FOUND	
blatník	-	+	2	k	aí	í		NOT FOUND	
blesk	-	+	1	sk	e	e		NOT FOUND	
blinkr	-	+	1	nkr	i	i		"blikač, signalizační ukazatel"	
blok	-	+	1	k	o	o		"1. skupina, celek vytvořený seskupením; 2. velký kus hmoty; 3. zábrana, překážka; 4. ve sportu obranná činnost"	
blond	-	+	1	nd	o	o		"světlovlasý, plavý"	
blud	-	+	1	d	u	u		NOT FOUND	
blues	-	+	2	s	ue	e		"hudební a pěvecký styl černošských muzikantů"	
blázinec	-	-	3	c	áie	e	ec	NOT FOUND	
bob	-	+	1	b	o	o		"závodní saně"	
bobek	-	+	2	k	oe	e	ek	NOT FOUND	
bochník	+	+	2	k	oí	í		NOT FOUND	
bochánek	-	+	3	k	oáe	e	ek	NOT FOUND	
bod	-	+	1	d	o	o		NOT FOUND	
bodec	-	-	2	c	oe	e	ec	NOT FOUND	
bodák	-	+	2	k	oá	á	ák	NOT FOUND	
boj	-	-	1	j	o	o		NOT FOUND	
bojler	-	+	2	r	oe	e		"zásobník a ohřívač vody"	артефакт
bok	-	+	1	k	o	o		NOT FOUND	
bol	-	+	1	l	o	o		NOT FOUND	
bolehlav	-	+	3	v	oea	a		NOT FOUND	
boltec	-	-	2	c	oe	e	ec	NOT FOUND	
bolák	-	+	2	k	oá	á	ák	NOT FOUND	
bombardér	-	+	3	r	oaé	é		NOT FOUND	
bon	-	+	1	n	o	o		"cenný papír"	артефакт
bonbon	-	+	2	n	oo	o		NOT FOUND	
bonbón	-	+	2	n	oó	ó		NOT FOUND	
bonbónek	-	+	3	k	oóe	e	ek	NOT FOUND	
bond	-	+	1	nd	o	o		"závazek, dluhopis, obligace"	артефакт
bonmot	-	+	2	t	oo	o	ot	"vtipné slovo, rčení, úsloví, vtip"	
bonsaj	-	-	2	j	oa	a		"strom nebo keř pěstovaný tak, že je výrazně menší než v přírodě"	
bonus	-	+	2	s	ou	u	us	"sleva z ceny, dobropis, prémie"	абстрактное понятие
boom	-	+	2	m	oo	o		"náhlý rozmach, vzestup,konjunktura, prosperita"	
bordel	-	+	2	l	oe	e		"1. nevěstinec, veřejný dům; 2. nepořádek, zmatek"	
bowling	-	+	2	ng	oi	i		"druh kuželkářského sportu hraný na 10 kuželek s těžší a větší koulí"	
box	-	+	1	x	o	o		"1. měkká chromitá useň s hladkým lícem; 2. rohování, pěstní zápas; 3. oddělené, ohrazené místo"	
brak	-	+	1	k	a	a		"odpad, chybné zboží, zmetek; podřadná, pokleslá literatura"	
brambor	-	+	2	r	ao	o		NOT FOUND	
brek	-	+	1	k	e	e		NOT FOUND	
briefing	-	+	3	ng	iei	i		"krátké setkání činitele nebo mluvčího s novináři, informativní schůzka"	
briliant	-	+	3	nt	iia	a		"1. nejběžnější výbrus drahokamů, zejm. diamantů; 2. diamantový šperk; 3. písmo o velikosti 3 bodů"	
brloh	-	+	1	h	o	o		NOT FOUND	
brod	-	+	1	d	o	o		NOT FOUND	
brok	-	+	1	k	o	o		NOT FOUND	
bronz	-	+	1	nz	o	o		NOT FOUND	
brífink	-	+	2	nk	íi	i		"krátké setkání činitele nebo mluvčího s novináři, informativní schůzka"	
buben	-	+	2	n	ue	e		NOT FOUND	
bubák	-	+	2	k	uá	á	ák	NOT FOUND	
bubínek	-	+	3	k	uíe	e	ek	NOT FOUND	
buch	-	+	1	ch	u	u		NOT FOUND	
buchar	-	+	2	r	ua	a		NOT FOUND	
buddhismus	-	+	3	s	uiu	u		"indické nábožensko-filozofické učení o cestách k dosažení nirvány"	абстрактное понятие
budík	-	+	2	k	uí	í		NOT FOUND	
budíček	+	+	3	k	uíe	e	ek	NOT FOUND	
bufet	-	+	2	t	ue	e		"1. jídelna se samoobsluhou; 2. rychlé občerstvení; 3. stůl nebo místnost s občerstvením"	
bujón	-	+	2	n	uó	ó		"1. silný masový vývar; 2. živný roztok, půda pro kultivaci bakterií"	вещество
buldozer	-	+	3	r	uoe	e		"stavební stroj, čelný shrnovač"	артефакт
bulletin	-	+	3	n	uei	i	in	"věstník, přehled zpráv"	артефакт
bulvár	-	+	2	r	uá	á		"1. široká a živá ulice ve velkoměstě; 2. věc bulvárního rázu"	
bunkr	-	+	1	nkr	u	u		"úkryt, kryt"	
buran	-	+	2	n	ua	a	an	"1. hrubián, neotesanec, křupan, neomalenec; 2. silný stepní vítr"	
buš	-	-	1	š	u	u		"porost suchomilných keřů a nízkých stromů savan a polopouští"	
byt	-	+	1	t	y	y		NOT FOUND	
byte	-	+	2		ye	e		"jednotka informace sestávající z osmi bitů"	
byznys	-	+	2	s	yy	y		"obchod, obchodování; povinnost, úkol, starost"	абстрактное понятие
bál	-	+	1	l	á	á		"ples"	
bát	-	+	1	t	á	á		NOT FOUND	
bílek	-	+	2	k	íe	e	ek	NOT FOUND	
běh	-	+	1	h	ě	ě		NOT FOUND	
bělouš	-	-	3	š	ěou	u	ouš	NOT FOUND	
běs	-	+	1	s	ě	ě		NOT FOUND	
břeh	-	+	1	h	e	e		NOT FOUND	
březen	+	-	2	n	ee	e		NOT FOUND	
břich	+	+	1	ch	i	i		NOT FOUND	
břit	-	+	1	t	i	i		NOT FOUND	
bůček	-	+	2	k	ůe	e	ek	NOT FOUND	
cecek	-	+	2	k	ee	e	ek	NOT FOUND	
cech	-	+	1	ch	e	e		"středověká organizace řemeslníků"	
cedr	-	+	1	dr	e	e		"jehličnatý strom rostoucí ve Středomoří"	
cejch	-	+	1	jch	e	e		"1. úřední značka potvrzující přesnost a správnost funkce měřidel a přístrojů; 2. neodstranitelné označení osoby, zvířete nebo věci"	
celek	-	+	2	k	ee	e	ek	NOT FOUND	
celer	-	+	2	r	ee	e		NOT FOUND	
cement	-	+	2	nt	ee	e		"1. prášková stavební hmota; 2. tmel užívaný v zubním lékařství"	вещество
cent	-	+	1	nt	e	e		"1. metrický cent,100 kg; 2. drobná mince dolaru, guldenu a jiných měnových jednotek"	
ceník	-	+	2	k	eí	í		NOT FOUND	
cep	-	+	1	p	e	e		NOT FOUND	
ceremoniál	-	+	5	l	eeoiá	á		"obřad; slavnost; obvyklý postup, procedura"	абстрактное понятие
certifikát	-	+	4	t	eiiá	á		"průkaz, osvědčení, potvrzení,ověření správnosti"	артефакт
chaos	-	+	2	s	ao	o		"zmatek, nepořádek; stav s vysokou neuspořádaností"	абстрактное понятие
charakter	-	+	3	r	aae	e		"povaha; souhrn vlastností, u člověka zejm. morálních; osobnost"	абстрактное понятие
chevrolet	-	+	3	t	eoe	e		NOT FOUND	
chlad	-	+	1	d	a	a		NOT FOUND	
chladič	-	-	2	č	ai	i	ič	NOT FOUND	
chlast	-	+	1	st	a	a		NOT FOUND	
chlor	-	+	1	r	o	o		NOT FOUND	
chloupek	-	+	3	k	oue	e	ek	NOT FOUND	
chlup	-	+	1	p	u	u		NOT FOUND	
chléb	+	-	1	b	é	é		NOT FOUND	
chlév	+	-	1	v	é	é		NOT FOUND	
chlívek	+	+	2	k	íe	e	ek	NOT FOUND	
chobot	-	+	2	t	oo	o	ot	NOT FOUND	
chochol	-	+	2	l	oo	o		NOT FOUND	
chod	-	+	1	d	o	o		NOT FOUND	
chodník	-	+	2	k	oí	í	ník	NOT FOUND	
chomout	-	+	3	t	oou	u	out	NOT FOUND	
chorál	-	+	2	l	oá	á		"jednohlasý sborový liturgický zpěv"	
chov	-	+	1	v	o	o		NOT FOUND	
chrup	-	+	1	p	u	u		NOT FOUND	
chrám	-	+	1	m	á	á		NOT FOUND	
chránič	-	-	2	č	ái	i	ič	NOT FOUND	
chtíč	-	-	1	č	í	í		NOT FOUND	
chumel	-	+	2	l	ue	e		NOT FOUND	
chvalozpěv	-	+	3	v	aoě	ě		NOT FOUND	
chvat	-	+	1	t	a	a		NOT FOUND	
chyt	-	+	1	t	y	y		NOT FOUND	
chór	-	+	1	r	ó	ó		"v antickém divadle místo pro sbor tanečníků a pěvců; sbor; oddělený prostor v kostele"	
chřest	-	+	1	st	e	e		NOT FOUND	
chřtán	-	+	1	n	á	á	án	NOT FOUND	
ciferník	-	+	3	k	ieí	í		NOT FOUND	
cirkus	-	+	2	s	iu	u		"1. ve starověkém Římě kruhový nebo oválný prostor pro závody a jiné produkce; 2. zábavní instituce; 3. zmatek, výtržnost"	
cit	-	+	1	t	i	i		NOT FOUND	
citrón	-	+	2	n	ió	ó		NOT FOUND	
citát	-	+	2	t	iá	á		"doslovně uvedený cizí text nebo hudební motiv, citace"	абстрактное понятие
clearing	-	+	3	ng	eai	i		"bezhotovostní vyrovnání pohledávek a závazků, obv. mezi peněžními ústavy"	
comics	-	+	2	cs	oi	i		"obrázkový seriál"	артефакт
cop	-	+	1	p	o	o		NOT FOUND	
copyright	-	+	3	ght	oyi	i		"doložka o výhradě autorského práva"	абстрактное понятие
cukr	-	+	1	kr	u	u		NOT FOUND	вещество
cval	-	+	1	l	a	a		NOT FOUND	
cvik	+	+	1	k	i	i		NOT FOUND	
cvok	-	+	1	k	o	o		NOT FOUND	
cyklus	-	+	2	s	yu	u		"oběh, pravidelně se opakující řada změn, období, etap"	
cylindr	-	+	2	ndr	yi	i		"1. dutý válec; 2. vrchní skleněná část lampy; 3. vysoký tvrdý klobouk"	артефакт
cár	-	+	1	r	á	á		NOT FOUND	
cíl	-	-	1	l	í	í		NOT FOUND	
cín	-	+	1	n	í	í		NOT FOUND	
cíp	-	+	1	p	í	í		NOT FOUND	
dalekohled	-	+	4	d	aeoe	e		NOT FOUND	
dar	-	+	1	r	a	a		NOT FOUND	
datum	-	+	2	m	au	u		NOT FOUND	
dav	-	+	1	v	a	a		NOT FOUND	
debakl	-	+	2	kl	ea	a		"velká prohra, úplná porážka, neúspěch, pohroma"	
debet	-	+	2	t	ee	e		"dluh; minusový zůstatek na účtu; levá strana účtu, má dáti"	
debut	-	+	2	t	eu	u		"první vystoupení zahajující veřejnou (obv. uměleckou) dráhu, první uveřejněné dílo"	абстрактное понятие
dech	-	+	1	ch	e	e		NOT FOUND	
defekt	-	+	2	kt	ee	e		"vada, poškození, porucha, nedostatek"	абстрактное понятие
deficit	-	+	3	t	eii	i		"schodek, ztráta, nedostatek"	абстрактное понятие
dehet	-	+	2	t	ee	e		"hustá tmavá, olejovitá kapalina vznikající při tepelném rozkladu organických látek bez přístupu vzduchu"	
dekodér	-	+	3	r	eoé	é		"zařízení na dekódování signálu, dekódovač, dešifrátor"	артефакт
dekret	-	+	2	t	ee	e		"úřední výnos, ustanovení; úřední listina o určitém rozhodnutí"	абстрактное понятие
delikt	-	+	2	kt	ei	i		"přečin, poklesek, porušení práva; provinění"	
den	-	-	1	n	e	e		NOT FOUND	
denár	-	+	2	r	eá	á		NOT FOUND	
deník	-	+	2	k	eí	í	ík	NOT FOUND	
depozit	-	+	3	t	eoi	i		"vklad; vložená částka; uložená věc nebo peníze"	
depozitář	-	-	4	ř	eoiá	á	ář	"prostor pro uložení sbírek, sklad; uschovatel"	
derivát	-	+	3	t	eiá	á		"sloučenina odvozená od základní molekuly, látky; odvozenina"	абстрактное понятие
desetník	-	+	3	k	eeí	í		NOT FOUND	
design	-	+	2	gn	ei	i		"vzhled, tvar; návrh tvarování výrobku sjednocující funkční účelnost a estetický vzhled"	абстрактное понятие
desktop	-	+	2	p	eo	o		"deska psacího stolu, stolní; konstrukce zařízení umožňující jeho umístění na stole"	
destilát	-	+	3	t	eiá	á		"1. produkt destilace; 2. pálenka, alkoholický nápoj získaný destilací"	вещество
destruktor	-	+	3	r	euo	o		NOT FOUND	
desátek	-	+	3	k	eáe	e	ek	NOT FOUND	
detail	-	+	3	l	eai	i		"podrobnost"	абстрактное понятие
detektor	-	+	3	r	eeo	o		"přístroj umožňující detekci, zjišťování přítomnosti něčeho"	артефакт
dezert	-	+	2	rt	ee	e		"zákusek, závěr menu"	
deštník	-	+	2	k	eí	í		NOT FOUND	
diagram	-	+	3	m	iaa	a		"grafické nebo schematické znázornění nějakého děje, procesu; v matematické statistice znázornění četnosti jevu"	
dialekt	-	+	3	kt	iae	e		NOT FOUND	абстрактное понятие
diamant	-	+	3	nt	iaa	a		"1. nejtvrdší nerost, krychlová modifikace uhlíku, velmi cenný drahokam; 2. písmo o velikosti 4 bodů"	
diapozitiv	-	+	5	v	iaoii	i		"pozitivní obraz na průhledné nebo průsvitné podložce"	абстрактное понятие
diesel	-	+	3	l	iee	e		NOT FOUND	
diferenciál	-	+	5	l	ieeiá	á		"stroj. soustava spoluzabírajících ozubených kol obv. se dvěma stupni volnosti; mat. nekonečně malý přírůstek proměnné veličiny"	абстрактное понятие
diktát	-	+	2	t	iá	á		"čtení textu, který má být zapsán; rozkaz, autoritativní řízení"	абстрактное понятие
dioxid	-	+	3	d	ioi	i		NOT FOUND	вещество
diplom	-	+	2	m	io	o		"písemné osvědčení, čestné uznání"	артефакт
diplomat	-	+	3	t	ioa	a		"státní úředník pověřený výkonem diplomacie; člověk obratný v jednání"	
disk	-	+	1	sk	i	i		NOT FOUND	
diskont	-	+	2	nt	io	o		"sleva; srážka z účtu při hotovostní platbě; srážka úroků při prodeji směnek před jejich splatností"	абстрактное понятие
diskurs	-	+	2	rs	iu	u		"rozmluva, rozhovor"	абстрактное понятие
diskurz	-	+	2	rz	iu	u		"rozmluva, rozhovor"	абстрактное понятие
dispečink	-	+	3	nk	iei	i		"ústředí řízení provozu určitého celku"	
div	-	+	1	v	i	i		NOT FOUND	
diář	-	-	2	ř	iá	á		"kalendář s rubrikami pro denní záznamy"	артефакт
dluh	-	+	1	h	u	u		NOT FOUND	
dluhopis	-	+	3	s	uoi	i		NOT FOUND	
dnešek	+	-	2	k	ee	e	ek	NOT FOUND	
dobytek	+	-	3	k	oye	e	ek	NOT FOUND	
dodatek	-	+	3	k	oae	e	ek	NOT FOUND	
dohad	-	+	2	d	oa	a		NOT FOUND	
dohled	-	+	2	d	oe	e		NOT FOUND	
dojem	-	+	2	m	oe	e		NOT FOUND	
dojezd	-	+	2	zd	oe	e		NOT FOUND	
dok	-	+	1	k	o	o		"zařízení na stavbu, opravu, čištění lodí"	
doklad	-	+	2	d	oa	a		NOT FOUND	
dokument	-	+	3	nt	oue	e		"důležitá listina, doklad, svědectví"	артефакт
dolar	-	+	2	r	oa	a		NOT FOUND	
dolet	-	+	2	t	oe	e		NOT FOUND	
dolíček	-	+	3	k	oíe	e	ek	NOT FOUND	
domek	-	+	2	k	oe	e	ek	NOT FOUND	
domeček	-	+	3	k	oee	e	ek	NOT FOUND	
domov	+	-	2	v	oo	o		NOT FOUND	
dopad	-	+	2	d	oa	a		NOT FOUND	
doping	-	+	2	ng	oi	i		"nedovolené užívání látek stimulujících zvyšování tělesné zdatnosti"	вещество
dopis	-	+	2	s	oi	i		NOT FOUND	
doplatek	-	+	3	k	oae	e	ek	NOT FOUND	
doplněk	-	+	2	k	oě	ě		NOT FOUND	
dopravník	-	+	3	k	oaí	í		NOT FOUND	
doprovod	-	+	3	d	ooo	o		NOT FOUND	
doraz	-	+	2	z	oa	a		NOT FOUND	
dorost	-	+	2	st	oo	o		NOT FOUND	
dort	-	+	1	rt	o	o		NOT FOUND	
dosah	-	+	2	h	oa	a		NOT FOUND	
doslov	-	+	2	v	oo	o		NOT FOUND	
dostavník	-	+	3	k	oaí	í		NOT FOUND	
dostih	-	+	2	h	oi	i		NOT FOUND	
dostřel	-	+	2	l	oe	e		NOT FOUND	
dotaz	-	+	2	z	oa	a		NOT FOUND	
dotazník	-	+	3	k	oaí	í	ník	NOT FOUND	
dotek	-	+	2	k	oe	e	ek	NOT FOUND	
dotisk	-	+	2	sk	oi	i		NOT FOUND	
dotyk	-	+	2	k	oy	y		NOT FOUND	
doušek	-	+	3	k	oue	e	ek	NOT FOUND	
dovoz	-	+	2	z	oo	o		NOT FOUND	
dovětek	-	+	3	k	oěe	e	ek	NOT FOUND	
dozor	-	+	2	r	oo	o		NOT FOUND	абстрактное понятие
dozvuk	-	+	2	k	ou	u		NOT FOUND	
došek	-	+	2	k	oe	e	ek	NOT FOUND	
drahokam	-	+	3	m	aoa	a		NOT FOUND	
drak	-	+	1	k	a	a		NOT FOUND	
dres	-	+	1	s	e	e		"sportovní úbor"	
drift	-	+	1	ft	i	i		"posun, vychýlení; pomalá změna způsobená změnou podmínek"	
dril	-	+	1	l	i	i		"tvrdý, drsný, bezmyšlenkovitý výcvik; bezduchá kázeň"	
drink	-	+	1	nk	i	i		"nápoj, obv. alkoholický"	вещество
drobek	-	+	2	k	oe	e	ek	NOT FOUND	
