word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
аеропорт	-	+	4	рт	аеоо	о		"у, Аеродром, обладнаний усім необхідним для забезпечення регулярних польотів транспортної авіації"	
ажіотаж	-	+	4	ж	аіоа	а		"у, 1. У капіталістичних країнах — штучне підвищення або зниження курсу біржових паперів або цін на товари для одержання прибутку. 2. перен. Велике збудження, хвилювання, боротьба інтересів навколо якої-небудь справи, питання"	абстрактное понятие
айсберг	+	-	2	рг	ае	е		"а, Пливуча льодова гора, що відкололася від материкового льодовика або льодового бар'єра"	
академізм	-	+	4	зм	ааеі	і	ізм	"у, 1. Суто теоретичне спрямування наукової роботи й навчання, відірваність їх від практики, від вимог життя. 2. Напрям в образотворчому мистецтві, який установив традиційні правила наслідування певних класичних зразків і протистояв реалістичному мистецтву"	абстрактное понятие
аксесуар	+	-	4	р	аеуа	а	ар	"а, 1. Характерна для чого-небудь ознака, предмет; //  Деталь оформлення, оздоблення. 2. тільки мн. Другорядні, побічні явища, деталі, які доповнюють що-небудь, створюють фон, обстановку для головного (в живопису, скульптурі, літературі). //  Дрібні речі, предмети театральної обстановки; бутафорія"	артефакт
акт	+	+	1	кт	а	а		"1. род. у. Окремий прояв якої-небудь діяльності; дія, подія, вчинок. 2. род. у. Закінчена частина театральної вистави, драматичного твору; дія. 3. род. а. Писаний указ, грамота, постанова державного, суспільного значення. //  Офіційний документ, протокол, запис про який-небудь факт.  Акти громадянського стану — записи спеціальними державними органами фактів народження, смерті, шлюбу, розлучення і т. ін. 4. род. а, заст. Урочисті збори в шкільних закладах у зв'язку з закінченням навчального року"	
актив	-	+	2	в	аи	и		"у, 1. Найбільш діяльна, ініціативна, передова частина якої-небудь організації, колективу. //  розм. Збори такої частини організації, колективу. 2. фін. Частина господарського балансу, що відображає на певну дату всі матеріальні цінності, кошти й боргові вимоги, належні даному підприємству або установі; протилежне пасив. 3. перен. Досягнення, надбання"	
актуалізм	-	+	4	зм	ауаі	і	ізм	NOT FOUND	абстрактное понятие
акумулятор	+	-	5	р	аууяо	о		"а, Прилад для нагромадження електричної енергії з метою дальшого її використання. Рівне сліпуче світло акумуляторів заливало простору лаву Найпростіша модель акумулятора складається з двох свинцевих пластинок, вміщених у розчин сірчаної кислоти //  гідр. Апарат для нагромадження енергії води в гідравлічних установках"	артефакт
акцент	-	+	2	нт	ае	е		"у, 1. Своєрідний характер вимови, властивий тій або іншій мові (діалектові), особі. В крамниці було повно люду; високі й кремезні руснаки гомоніли прудко, з особливим акцентом Вона й говорила з ним потім по-руськи, але з якимось неруським акцентом Жінка прислухалася до його слів, але він говорив чистою українською мовою, без чужого акценту 2. лінгв. Наголос у слові; //  Знак (’), яким цей наголос позначається на письмі; //  муз. Ритмічний наголос. 3. перен. Особлива увага до чого-небудь; підкреслення. Вистава [«Ревізор»] йшла.. з акцентом на гостру, соковиту акторську подачу образів  Робити акцент на чому — підкреслювати яку-небудь думку, звертати особливу увагу на що-небудь; акцентувати"	абстрактное понятие
акциз	-	+	2	з	аи	и		"у, 1. У капіталістичних країнах — вид непрямого податку на продукти масового споживання (цукор, горілку, тютюнові вироби і т. ін.), який підприємці включають у їх продажну ціну. 2. розм., заст. Назва установи, що збирає такий податок"	
алгоритм	-	+	3	тм	аои	и		"у, Система правил виконання обчислювального процесу, що приводить до розв'язання певного класу задач після скінченного числа операцій"	абстрактное понятие
алкоголь	-	+	3	ль	аоо	о		"ю, Винний спирт. //  розм. Про горілку і взагалі спиртні напої"	вещество
алкоголізм	-	+	4	зм	аооі	і	ізм	"у, Захворювання, що розвивається внаслідок тривалого зловживання спиртними (алкогольними) напоями. //  розм. Зловживання спиртними напоями; пияцтво"	абстрактное понятие
алогізм	-	+	3	зм	аоі	і	ізм	"у, книжн. Що-небудь безглузде; те, що суперечить логіці; //  Літературний прийом, який полягає в навмисному порушенні (розриві) логічного зв'язку з метою створення комізму, іронії і т. ін"	абстрактное понятие
алфавіт	-	+	3	т	ааі	і		"у, Сукупність літер, прийнятих у писемності якої-небудь мови і розміщених у певному усталеному порядку; азбука, абетка. Найдавніша, що дійшла до нас, слов'янська писемність знає два алфавіти — кирилицю і глаголицю  За алфавітом; По алфавіту — в алфавітному порядку; за абеткою. Узяти список з усіма запоріжцями — і всіх згадати за алфавітом"	
альбом	-	+	2	м	ао	о		"а, 1. Книга або зошит з чистими листками для малювання, вписування віршів, зберігання фотографій, листівок, марок та ін. 2. Об'єднане за темою видання або збірка репродукцій картин, малюнків, фотографій та ін., оправлених разом або вміщених в одну папку"	артефакт
альбінізм	-	+	3	зм	аіі	і	ізм	"у, фізл. Відсутність нормальної для даного виду організмів пігментації (забарвлення)"	
альманах	-	+	3	х	ааа	а	х	"у, Збірка літературних творів різних авторів-сучасників"	
альпінізм	-	+	3	зм	аіі	і	ізм	"у, Вид спорту; сходження на важкодоступні гірські вершини, льодовики"	
альянс	-	+	2	нс	ая	я		"у, Спілка, об'єднання на основі договірних зобов'язань"	
амбар	+	-	2	р	аа	а	ар	"а, розм. Велике приміщення для зберігання зерна; комора"	
американізм	-	+	5	зм	аеиаі	і	ізм	NOT FOUND	
аморалізм	-	+	4	зм	аоаі	і	ізм	"у, Заперечення моралі, відмовлення від принципів совісті, честі, справедливості"	абстрактное понятие
аморфізм	-	+	3	зм	аоі	і	ізм	NOT FOUND	
анаболізм	-	+	4	зм	ааоі	і	ізм	NOT FOUND	
аналог	+	-	3	г	аао	о		"а, книжн. Те, в чому виявляється схожість, подібність до іншого предмета або явища"	абстрактное понятие
аналіз	-	+	3	з	ааі	і		"у, 1. Метод наукового дослідження предметів, явищ та ін. шляхом розкладу, розчленування їх у думці на складові частини; протилежне синтез. //  Розгляд чого-небудь. 2. Визначення складу і властивостей якої-небудь речовини, дослідження їх"	абстрактное понятие
анархізм	-	+	3	зм	ааі	і	ізм	"у, 1. Ворожа марксизмові дрібнобуржуазна політична течія, яка заперечує будь-яку державну владу, організовану політичну боротьбу і виступає проти революційної диктатури пролетаріату. 2. перен. Невизнання авторитету, порядку, дисципліни; свавілля"	абстрактное понятие
анахронізм	-	+	4	зм	ааоі	і	ізм	"у, 1. Помилка в літочисленні, хронології подій, явищ. 2. Явище, поняття, погляд, звичай та ін., які застаріли і не відповідають сучасності; пережиток"	
анекдот	-	+	3	т	аео	о		"а, 1. Коротке жартівливе (здебільшого вигадане) оповідання про яку-небудь смішну подію. //  Вигадка, жарт. 2. Кумедний випадок, подія або пригода"	
анексіонізм	-	+	5	зм	аеіоі	і	ізм	NOT FOUND	
ансамбль	-	+	2	мбль	аа	а		"ю, 1. Група співаків, музикантів або танцюристів, що постійно виступає як єдиний художній колектив. //  Художня узгодженість, злагодженість у виконанні артистами драматичного, музичного і т. ін. твору. 2. Музичний твір або окрема частина його, призначена для одночасного виконання кількома музикантами або співаками. 3. Сукупність будівель, споруд та ін., що є частинами одного цілого (в архітектурі, шляховій справі). //  Гармонійна єдність у розташуванні і оформленні групи будівель, пам'ятників, зелених насаджень та ін., що становлять єдину архітектурну композицію"	
антагонізм	-	+	4	зм	ааоі	і	ізм	"у, 1. Непримиренна суперечність. //  Неприязнь, ворожість. 2. біол. Боротьба між деякими тваринами, рослинами, мікроорганізмами, що веде до знищення чи пригнічення одних організмів іншими"	абстрактное понятие
антигуманізм	-	+	5	зм	аиуаі	і	ізм	NOT FOUND	абстрактное понятие
антиклерикалізм	-	+	6	зм	аиеиаі	і	ізм	NOT FOUND	абстрактное понятие
антикомунізм	-	+	5	зм	аиоуі	і	ізм	NOT FOUND	абстрактное понятие
антилогізм	-	+	4	зм	аиоі	і	ізм	NOT FOUND	абстрактное понятие
антиреалізм	-	+	5	зм	аиеаі	і	ізм	NOT FOUND	абстрактное понятие
антисемітизм	-	+	5	зм	аиеіи	и	изм	"у, Вороже ставлення до євреїв, штучно створюване й розпалюване реакціонерами в своїх класових інтересах"	абстрактное понятие
антиінтелектуалізм	-	+	8	зм	аиіееуаі	і	ізм	NOT FOUND	абстрактное понятие
антропоморфізм	-	+	5	зм	аоооі	і	ізм	"у, 1. Уподібнення будь-чого до людини або перенесення властивих людині фізичних і психічних ознак на тварин, явища природи, предмети; уособлення. 2. У багатьох релігіях — уявлення бога в образі людини"	абстрактное понятие
анцибол	-	+	3	л	аио	о	л	"а, діал., лайл. Те саме, що анци́болот"	
анциболот	+	+	4	т	аиоо	о		"а, діал., лайл. Болотний чорт"	
аншлаг	-	+	2	г	аа	а		"у, Стан, коли всі квитки на виставу, концерт і т. ін. продані; також оголошення про це в касі театру, цирку і т. ін"	
анімалізм	-	+	4	зм	аіаі	і	ізм	"у, Зображення тварин у живописі, різьбярстві, скульптурі"	
анімізм	-	+	3	зм	аіі	і	ізм	"у, Донаукове, містичне уявлення первісних людей, згідно з яким кожна річ має свого духа, душу; одухотворення сил і явищ природи"	абстрактное понятие
апарат	+	+	3	т	ааа	а	ат	"1. род. а. Прилад, пристрій для виконання якої-небудь роботи. 2. род. у. Установа або сукупність установ, що обслуговують яку-небудь ділянку державного управління чи господарства. //  Сукупність працівників такої установи; штат. 3. род. у, фізл. Сукупність органів, які виконують певні функції в організмі"	артефакт
апетит	-	+	3	т	аеи	и	ит	"у, 1. тільки одн. Бажання їсти, охота до їди. ♦ Вовчий апетит — дуже великий апетит. 2. перев. мн., перен. Прагнення до чого-небудь"	
апокаліпсис	+	-	5	с	аоаіи	и		"а, Одна з книг християнської церковної літератури І ст. н. е., у якій зібрані містичні пророцтва про кінець світу"	
арабізм	-	+	3	зм	ааі	і	ізм	"у, лінгв. Слово або вислів, запозичені з арабської мови"	
арапник	+	-	3	к	ааи	и	ник	"а, Довгий ремінний канчук для мисливських собак"	артефакт
арбітраж	-	+	3	ж	аіа	а		"у, Розв'язання арбітрами спорів, які не підлягають судовому розглядові; третейський суд; //  юр. У СРСР — орган, що займається розглядом майнових спорів між установами і підприємствами"	
аргамак	+	-	3	к	ааа	а	ак	"а, Старовинна назва породистого верхового коня в східних народів; румак"	
аргумент	-	+	3	нт	ауе	е		"у, 1. книжн. Підстава, доказ, які наводяться для обґрунтування, підтвердження чого-небудь. 2. мат. Незалежна змінна величина"	абстрактное понятие
арешт	-	+	2	шт	ае	е		"у, 1. Позбавлення волі, взяття під варту кого-небудь. 2. юр. Судова заборона вільно розпоряджатися власним майном. 3. заст. Приміщення для осіб, позбавлених волі; в'язниця"	
аркан	+	-	2	н	аа	а		"а, 1. Довгий мотузок із зашморгом на кінці, за допомогою якого ловлять коней та інших тварин.  * Образно. 2. Гуцульський чоловічий танок"	артефакт
аркуш	+	-	2	ш	ау	у		"а, 1. Шматок якого-небудь тонкого і плоского матеріалу (паперу, фанери, картону і т. ін.) певної форми і розміру. 2. спец. Одиниця вимірювання обсягу книги, що дорівнює шістнадцяти сторінкам друкованого тексту. ▲ Авторський аркуш — друкований аркуш з визначеним числом знаків (звичайно 40 000), який служить одиницею виміру виконаної автором праці, обсягу твору"	единица измерения
аромат	+	+	3	т	аоа	а	ат	"у, 1. Приємний і ніжний запах; пахощі. 2. чого, тільки одн., перен. Властива чому-небудь ознака"	
арсен	-	+	2	н	ае	е		NOT FOUND	
арсенал	-	+	3	л	аеа	а	л	"у, 1. Склад зброї і військового спорядження. 2. Завод, на якому виготовляють зброю і військове спорядження. 3. перен. Великий запас чого-небудь (засобів, можливостей та ін.)"	
артефакт	-	+	3	кт	аеа	а		NOT FOUND	артефакт
архів	-	+	2	в	аі	і		"у, 1. Установа, яка займається збиранням, упорядковуванням і зберіганням старих документів, писемних пам'яток та ін. Годинами переглядав [М. Костомаров] у темних кімнатах архівів старовинні пожовклі рукописи Поки розшукав його [документ] в Житомирі, в обласному архіві, то не один пуд солі з'їв //  Відділ установи, в якому зберігаються старі документи, листи, закінчені справи тощо. Центральний партійний архів Інституту марксизму-ленінізму перетворився тепер в найбільше сховище безсмертної спадщини Маркса і Енгельса 2. Листи, рукописи, знімки і т. ін., які стосуються діяльності якої-небудь установи або особи. Архів Нечуя-Левицького, розкиданий по різних місцях, ніким ще не описаний і не вивчений У жовтні 1932 р. поліція [у Львові] розгромила редакцію «Вікон», знищила весь архів, заарештувала багатьох співробітників журналу ♦ Здати в архів (до архіву) кого, що — забути, визнати непотрібним. [Орест:] Коли пропало, то вже не поправиш... [Острожин:] Як ви можете так спокійно? Се ж значить, здати себе в архів? [Божко:] Е, Гришо, рано ви здаєте до архіву свій скальпель. Поки що операція — радикальна допомога"	
асортимент	-	+	4	нт	аоие	е		"у, Набір товарів або виробів різних видів і сортів. //  Взагалі різноманітний набір чого-небудь"	
аспект	-	+	2	кт	ае	е		"у, книжн. Точка зору, з якої розглядаються предмети, явища, поняття"	абстрактное понятие
асфальт	-	+	2	льт	аа	а		"у, 1. Чорна смолиста маса природного походження або штучно виготовлена з бітуму і тонкоподрібнених мінеральних матеріалів. 2. Шлях, тротуар, покриті цією масою"	
атавізм	-	+	3	зм	ааі	і	ізм	"у, Поява в нащадків (людей, тварин, рослин) ознак, що були властиві їх далеким предкам"	
атестат	+	-	3	т	аеа	а	ат	"а, 1. Свідоцтво про закінчення навчального закладу. //  Свідоцтво про присвоєння вченого або спеціального звання.  Атестат зрілості — документ про закінчення середньої загальноосвітньої школи. 2. Документ на право одержання грошового чи речового забезпечення військовослужбовцем або членами його сім'ї. 3. Посвідчення про проходження служби; рекомендація з попереднього місця служби. 4. Взагалі характеристика, відзив"	
атомізм	-	+	3	зм	аоі	і	ізм	"у, Те саме, що атомістика"	
атрамент	-	+	3	нт	аае	е		"у, заст. Чорнило"	
атрибут	+	-	3	т	аиу	у		"а, 1. філос. Суттєва, невід'ємна властивість предмета або явища. 2. Ознака або предмет, які становлять характерну прикмету кого-, чого-небудь. 3. грам. Означення"	абстрактное понятие
аудит	-	+	3	т	ауи	и	ит	NOT FOUND	
аукціон	-	+	4	н	ауіо	о		"у, Прилюдний продаж товарів, майна, причому власником їх стає той, хто дає за них найбільшу суму.  Продавати з аукціону — продавати що-небудь способом прилюдного торгу"	
аутизм	-	+	3	зм	ауи	и	изм	NOT FOUND	
афелій	-	+	3	й	аеі	і		"ю, Найвіддаленіша від Сонця точка орбіти якої-небудь планети або комети"	
багаж	-	+	2	ж	аа	а		"у, 1. Речі пасажирів, спаковані для перевезення різними видами транспорту. Хлопчик здав чемодан до камери схову ручного багажу Незважаючи на щирі протести гостя, вона взялася нести його багаж  Відправляти (відправити) багажем що-небудь — відсилати, відправляти які-небудь речі поїздом, літаком і т. ін. нарізно від пасажирів; Здавати (здати) в багаж що-небудь — здавати речі в багажне відділення для відправки їх яким-небудь видом транспорту нарізно від пасажирів. 2. перен. Запас відомостей з певної галузі знань, які має хто-небудь. За ці півгодини Каргат хотів скласти більш-менш повне уявлення про науковий багаж своїх нових помічниць Кожного дня він повертався з школи додому з новим захоплюючим багажем"	
багатир	+	-	3	р	ааи	и		"я, розм. Те саме, що багач"	
базар	+	+	2	р	аа	а	ар	"у, 1. Торгівля (переважно приватна) продуктами харчування або предметами широкого вжитку (часто в певні дні тижня) на площі або в спеціально збудованому приміщенні. //  Місце, де відбувається така торгівля. //  Час такої торгівлі. //  у знач. присл., кого, перен., розм. Дуже багато. 2. Організована торгівля спеціальними товарами в певні сезони або періоди найбільшого попиту на них. 3. перен., розм. Шум, гам, голосні безладні розмови. ♦ Пташиний базар — місце на морському березі, де оселюються величезною масою птахи"	
байдак	+	-	2	к	аа	а	ак	"а, 1. заст. Великий човен, яким плавали по річках і морю. 2. діал. Те саме, що байда 2"	артефакт
байрак	+	+	2	к	аа	а	ак	NOT FOUND	
байрам	+	+	2	м	аа	а		"у, Назва двох триденних мусульманських свят"	
байронізм	-	+	3	зм	аоі	і	ізм	"у, Літературна течія початку XIX ст., що виникла під впливом творчості англійського поета Байрона; характеризується романтичним індивідуалізмом, розладом між поетом і суспільством, розчарованістю"	абстрактное понятие
бак	+	-	1	к	а	а		"1, а, Велика закрита металева посудина для рідини" БАК 2, а, Передня (носова) частина верхньої палуби суднабакай	артефакт
бакай	+	-	2	й	аа	а		NOT FOUND	
бал	+	+	1	л	а	а		"1, у, Великий вечір з танцями" БАЛ 2, а, 1. Одиниця виміру сили якого-небудь природного явища (вітру, землетрусу і т. ін.). 2. Виражена цифрою оцінка знань і поведінки учня. //  Цифрова оцінка успіхів у спортивних змаганняхбалаган	единица измерения
балаган	+	-	3	н	ааа	а		NOT FOUND	
баланс	-	+	2	нс	аа	а		"у, 1. бухг. Порівняльний підсумок прибутків і видатків при завершенні розрахунків, а також відомість, в якій зафіксовано цей підсумок. ▲ Активний баланс — підсумок, в якому прибутки перевищують витрати; Пасивний баланс — підсумок, в якому витрати перевищують прибутки. 2. чого, який. Співвідношення між взаємозв'язаними частинами, сторонами чого-небудь, між тим, що надходить і що витрачається"	абстрактное понятие
балет	-	+	2	т	ае	е	ет	"у, 1. Вид театрального мистецтва, що поєднує танець, музику і драматургічний задум.  Балет на льоду — вид мистецтва, в якому танці виконуються на ковзанах. Плавне ковзання, стрімкий політ, динаміка рухів.. разом з акторською майстерністю дали можливість створити чудове і оригінальне мистецтво — балет на льоду 2. Театральна вистава з певним сюжетом, який розкривається засобами танцю, міміки й музики. — А мені здається, що я на якійсь оригінальній опері чи балеті.., — шепотіла Ватя //  Музичний твір, що становить основу такої вистави. Балет К. Данькевича «Лілея». 3. Колектив артистів, виконавців цієї вистави. Так мова повстає і ніби річка плине Про жанри, про пейзаж, про різних малярів, Про композиторів, балет і тенорів"	
балкон	+	-	2	н	ао	о		NOT FOUND	
балончик	+	-	3	к	аои	и	ик	"а, Зменш. до балон"	артефакт
бандитизм	-	+	3	зм	аии	и	изм	"у, Злочинна діяльність озброєних банд, що чинять грабежі, розбої, вбивства; терористична діяльність контрреволюційних банд"	абстрактное понятие
банер	+	-	2	р	ае	е		NOT FOUND	
банк	-	+	1	нк	а	а		"у, 1. У СРСР — державна фінансова установа, яка здійснює кредитування народного господарства і є розрахунковим центром країни; у капіталістичних країнах — фінансова установа, що концентрує капіталовкладення, які дає в позику капіталістам з метою одержання прибутків і надприбутків. 2. В азартних карточних іграх — поставлена на кін сума грошей.  * У порівняннях.  Держати (тримати) банк — вести гру, маючи в своєму розпорядженні всю поставлену на кін суму. 3. Назва азартної гри в карти; банчок"	
банкет	-	+	2	т	ае	е	ет	"1 див. бенкет" БАНКЕТ 2 див. банкети БАНКЕТ 3, а, буд. Земляний або кам'яний насип для якої-небудь спорудибанувати	
банкомат	+	-	3	т	аоа	а	ат	NOT FOUND	артефакт
баняк	+	-	2	к	ая	я	як	NOT FOUND	
бар	+	+	1	р	а	а		"1, у, Невеликий ресторан, в якому напої і закуски споживають біля стойки буфету або за столиками" БАР 2, а, метеор. Одиниця виміру атмосферного тиску БАР 3, а, мор. Наносний підводний вал у прибережній зоні моря або в гирлі річки; мілина БАР 4, а, Деталь врубової машини і гірничого комбайна, яка робить зарубну щілину в пластібарабанити	
барак	+	-	2	к	аа	а	ак	"а, Житлове приміщення, призначене для тимчасового користування"	
барельєф	+	-	3	ф	аеє	є		"а, Скульптурна прикраса на плоских поверхнях, що виступає над площиною фону менше ніж на половину своєї товщини"	артефакт
бариш	+	+	2	ш	аи	и		"у, Прибуток від торгівлі або перепродажу. //  Взагалі всяка вигода, прибуток"	
барліг	+	-	2	г	аі	і		"лога і логу, 1. Лігво ведмедя. Раз пішла одна дівчина в ліс по горіхи. Там її здибав ведмідь та й забрав до свого барлогу А у лісі, у барлозі, у норі.., де прудкі стрибають білки з верховіть, жив кошлатий непривітливий ведмідь  * Образно. Тільки в брудний свій барліг «самостійний» Ти не заманиш нікого, фашист! 2. перен., зневажл. Про неохайне, брудне житло. В кутку, виганяючи цвіль і вологу, «Буржуйку» пристроїли — і затишна 3 барлогу вчорашнього стала кімната //  Про місце для спання або схову. На тих полах покотом спали бурлаки й бурлачки, розкидавши на барлозі драні свитки й кожухи 3. перен. Безладдя; речі, що лежать у безладді. На долу грязь, якийсь барліг, тріски, шматки дерева, бо в хаті стояв верстат для стругання дерева 4. Болото (у 2 знач.); калюжа. Валяється, як свиня в барлозі Упавши на землю, [Сивилла] качалась, У барлозі мов порося"	
бархат	-	+	2	т	аа	а	ат	"у, Те саме, що оксамит. Дівчатка чинно розсілися спереду, поспиравшись на бильця, оббиті.. яскравим бірюзовим бархатом  * У порівняннях. Вода, хмурна й чорна, як чорний бархат, гойдає на своїх хвилях плями ліхтарів ▲ Амурський бархат, бот. — амурське коркове дерево. Бархат амурський дає цінну пробку для виробництва лінолеуму, ізоляційних плит тощо"	
басейн	-	+	2	йн	ае	е		"у, 1. Штучне водоймище із стінами, укріпленими цеглою, цементом і т. ін. 2. чого. Територія, яку охоплює річка з притоками. //  Територія, прилегла до моря, озера. 3. геол. Велика ділянка залягання гірських порід, що містить поклади корисних копалин"	
